,Body type,Kilometers driven,Transmission type,Number of Owners,Year of manufacture,price,Fuel Type,Insurance Validity,Seats,Engine,Mileage,Steering Type,Top Speed,Cargo Volumn,City
0,2,0.02181818181818182,1,0.6000000000000001,0.7894736842105203,0.00915719561978049,4,5,0.375,0.1996,0.12052362323201929,4,150.0,5.348737697903294e-05,0
1,7,0.005946545454545455,1,0.4,0.8684210526315752,0.019065623663582686,4,0,0.375,0.2994,0.07463135720734276,4,170.0,8.386612992343516e-05,0
2,2,0.0021725454545454548,1,0.2,0.8684210526315752,0.013617193644362986,4,0,0.375,0.2398,0.12609088173337346,4,150.0,5.5304909206475805e-05,0
3,8,0.0032352727272727273,1,0.2,0.7631578947368425,0.010651897660451382,4,0,0.375,0.2394,0.0904303340355101,4,172.0,9.814674028191482e-05,0
4,7,0.01090909090909091,1,0.2,0.7894736842105203,0.018559353617548995,1,5,0.375,0.24960000000000002,0.12466145049653926,4,190.0,8.412577738449842e-05,0
5,7,0.003636363636363637,1,0.2,0.9210526315789451,0.04531934176504397,1,5,0.375,0.3912,0.07538368943725551,4,170.0,9.840638774297809e-05,0
6,2,0.006867636363636364,1,0.2,0.8421052631578902,0.007831250261120831,4,0,0.375,0.2396,0.10194101715317486,4,150.0,6.127680081093096e-05,0
7,7,0.005454545454545455,0,0.2,0.9473684210526301,0.028443673563921013,4,5,0.375,0.1996,0.08328317785133915,4,170.0,8.334683500130863e-05,0
8,8,0.006727272727272728,0,0.2,0.8684210526315752,0.022657730180678858,4,0,0.375,0.2924,0.0993078543484803,4,170.0,0.0001248904287714313,0
9,2,0.0021725454545454548,1,0.2,0.8421052631578902,0.013617193644362986,4,0,0.375,0.2398,0.12609088173337346,4,150.0,5.5304909206475805e-05,0
10,2,0.009090909090909092,1,0.2,0.8684210526315752,0.01614854387453143,4,5,0.375,0.2394,0.10773397532350285,4,180.0,8.04907129296127e-05,0
11,2,0.004524909090909092,0,0.2,0.8947368421052602,0.015955679095090027,4,5,0.375,0.2394,0.08892566957568462,4,165.0,5.8939973661361544e-05,0
12,2,0.004181818181818182,0,0.2,0.8684210526315752,0.019403137027605145,4,0,0.375,0.2398,0.08365934396629551,4,172.0,8.438542484556168e-05,0
13,2,0.008896000000000001,0,0.2,0.8684210526315752,0.013858274618664745,4,0,0.375,0.2398,0.12609088173337346,4,150.0,5.5304909206475805e-05,0
14,7,0.01979309090909091,1,0.6000000000000001,0.7631578947368425,0.01614854387453143,1,0,0.625,0.4358,0.06033704483900091,4,175.0,0.0024705455920169825,0
15,7,0.014545454545454547,1,0.2,0.8684210526315752,0.03205988817844736,1,5,0.375,0.3912,0.07538368943725551,4,170.0,9.840638774297809e-05,0
16,7,0.0029090909090909093,0,0.2,0.973684210526315,0.13439876176954302,1,0,0.375,0.39,0.09160286736693699,4,219.0,0.0024705455920169825,0
17,2,0.011886545454545455,1,0.4,0.7631578947368425,0.012074275408831745,1,0,0.375,0.2792,0.1067559434246163,4,170.0,0.0024705455920169825,0
18,7,0.0018181818181818184,1,0.2,0.973684210526315,0.023742594565036763,4,5,0.375,0.2398,0.07711405356605477,1,170.0,8.334683500130863e-05,0
19,8,0.012181818181818183,1,0.4,0.8157894736842053,0.01819773215609636,4,0,0.375,0.2994,0.0806500150466446,4,195.0,0.0001248904287714313,0
20,8,0.018181818181818184,0,0.6000000000000001,0.6842105263157876,0.05255177099409667,1,5,0.375,0.399,0.08576587421005116,4,226.0,0.00012748690338206396,0
