,Body type,Kilometers driven,Transmission type,Number of Owners,Car model,Year of manufacture,price,Fuel Type,Insurance Validity,Seats,Engine,Mileage,Color,Turbo Charger,Super Charger,Steering Type,Top Speed,No of doors,Cargo Volumn,City
1541,SUV,38334,Manual,1,Tata Nexon,2018,707000.0,Petrol,Comprehensive,5.0,1198.0,17.0,Silver,Yes,No,Power,154.19,5,350,chennai
1542,Hatchback,36992,Manual,1,Volkswagen Polo,2019,680000.0,Petrol,Third Party insurance,5.0,999.0,17.74,Red,No,No,Electric,170.0,5,280,chennai
1543,SUV,50000,Automatic,2,BMW X3,2016,3750000.0,Diesel,Comprehensive,5.0,2993.0,16.55,Red,Yes,No,Power,232.0,5,485,chennai
1544,SUV,34596,Automatic,1,Tata New Safari,2021,2039000.0,Diesel,Comprehensive,6.0,1956.0,14.08,Silver,Yes,No,Power,170.0,5,73,chennai
1545,Hatchback,84564,Manual,1,Datsun GO,2019,401000.0,Petrol,Third Party,5.0,1198.0,19.02,White,No,No,Power,170.0,5,265,chennai
1546,Sedan,60001,Automatic,2,Mercedes-Benz E-Class,2013,2150000.0,Diesel,Comprehensive,5.0,2143.0,13.0,Silver,Yes,No,Power,242.0,4,540,chennai
1547,Hatchback,23462,Manual,1,Hyundai Santro,2018,505000.0,Petrol,Zero Dep,5.0,1086.0,20.3,White,No,No,Power,170.0,5,235,chennai
1548,SUV,13000,Automatic,1,Volkswagen Taigun,2022,1599000.0,Petrol,Third Party insurance,5.0,999.0,18.41,Red,Yes,No,Electric,170.0,5,385,chennai
1549,Sedan,54658,Automatic,1,Honda Amaze,2019,830000.0000000001,Diesel,Comprehensive,5.0,1498.0,23.8,Red,Yes,No,Power,140.0,4,420,chennai
1550,SUV,34164,Manual,1,Mahindra XUV300,2020,1036000.0,Petrol,Third Party,5.0,1197.0,16.82,Green,Yes,No,Power,170.0,5,9544,chennai
1551,SUV,10000,Manual,1,Kia Seltos,2022,1595000.0,Petrol,Third Party insurance,5.0,1497.0,16.8,Gray,No,No,Electric,170.0,5,433,chennai
1552,Hatchback,70000,Manual,3,Fiat Punto,2010,100000.0,Petrol,Third Party insurance,5.0,1368.0,14.6,Red,No,No,Power,170.0,5,280,chennai
1553,SUV,37000,Manual,1,Hyundai Venue,2020,825000.0,Petrol,Third Party insurance,5.0,1197.0,17.52,Blue,No,No,Electric,170.0,5,350,chennai
1554,SUV,20000,Automatic,1,Mahindra XUV700,2022,2900000.0,Diesel,Comprehensive,7.0,2198.0,19.255853130413264,Silver,Yes,No,Power,162.41,5,9544,chennai
1555,Hatchback,53967,Manual,1,Maruti Baleno,2016,550000.0,Petrol,Comprehensive,5.0,1197.0,21.4,Blue,No,No,Power,180.0,5,339,chennai
1556,Hatchback,52700,Manual,1,Hyundai i10,2011,299000.0,Petrol,Comprehensive,5.0,1197.0,20.36,Red,No,No,Power,170.0,4,9544,chennai
1557,SUV,60000,Automatic,1,Tata Nexon,2018,750000.0,Petrol,Third Party insurance,5.0,1198.0,17.0,Others,Yes,No,Power,154.19,5,350,chennai
1558,Hatchback,53967,Manual,1,Maruti Baleno,2016,550000.0,Petrol,Comprehensive,5.0,1197.0,21.4,Blue,No,No,Power,180.0,5,339,chennai
1559,Sedan,99225,Manual,2,Honda Amaze,2014,375000.0,Petrol,Comprehensive,5.0,1199.0,18.6,TAFETA WHITE,No,No,Electric,170.0,4,420,chennai
1560,Sedan,60000,Manual,2,Fiat Linea,2011,265000.0,Petrol,Third Party insurance,5.0,1368.0,16.0,Silver,Yes,No,Power,165.0,4,9544,chennai
1561,Hatchback,48220,Automatic,1,Honda Jazz,2020,808000.0,Petrol,Third Party,5.0,1199.0,17.1,Red,No,No,Electric,170.0,5,354,chennai
1562,Hatchback,72024,Manual,1,Honda Jazz,2016,542000.0,Petrol,Third Party insurance,5.0,1199.0,18.7,Red,No,No,Power,172.0,5,354,chennai
1563,Sedan,80000,Automatic,1,Honda Amaze,2016,529000.0,Petrol,Third Party insurance,5.0,1198.0,15.5,Others,No,No,Power,160.0,4,400,chennai
1564,Hatchback,78735,Manual,1,Volkswagen Polo,2017,684000.0,Petrol,Third Party,5.0,1199.0,16.2,Black,No,No,Power,165.0,5,280,chennai
1565,SUV,72955,Manual,2,Ford Ecosport,2018,813000.0000000001,Diesel,Zero Dep,5.0,1498.0,23.0,Red,Yes,No,Power,170.0,4,352,chennai
1566,Sedan,40000,Automatic,1,Maruti Ciaz,2015,650000.0,Petrol,Third Party insurance,5.0,1373.0,19.12,Others,No,No,Power,190.0,4,510,chennai
1567,SUV,14037,Manual,1,Jeep Compass,2021,1802000.0,Petrol,Comprehensive,5.0,1368.0,14.3,Grey,No,No,Power,170.0,5,9544,chennai
1568,Hatchback,29000,Manual,1,Hyundai i20,2019,745000.0,Petrol,Comprehensive,5.0,1197.0,18.6,Silver,No,No,Power,170.0,5,285,chennai
1569,Hatchback,69864,Manual,1,Maruti Baleno,2017,619000.0,Petrol,Third Party insurance,5.0,1197.0,21.4,Silver,No,No,Power,180.0,5,339,chennai
1570,Sedan,35739,Manual,1,Hyundai Xcent,2019,650000.0,Petrol,Third Party insurance,5.0,1197.0,20.14,Silver,No,No,Power,172.0,4,407,chennai
1571,Hatchback,120000,Automatic,2,Honda Jazz,2016,500000.0,Petrol,Third Party insurance,5.0,1199.0,19.0,Others,No,No,Power,172.0,5,354,chennai
1572,MUV,18000,Manual,1,Maruti Ertiga,2019,1145000.0,Diesel,Comprehensive,7.0,1248.0,24.52,Silver,Yes,No,Power,160.0,5,135,chennai
1573,SUV,21000,Manual,1,Tata Harrier,2019,1600000.0,Diesel,Comprehensive,5.0,1956.0,16.35,Orange,Yes,No,Power,170.0,5,425,chennai
1574,Hatchback,70404,Manual,1,Maruti Baleno,2016,540000.0,Petrol,Comprehensive,5.0,1197.0,21.4,Grey,No,No,Power,180.0,5,339,chennai
1575,Sedan,63000,Manual,1,Volkswagen Vento,2015,675000.0,Petrol,Comprehensive,5.0,1598.0,16.09,Black,No,No,Power,185.0,4,494,chennai
1576,Sedan,88000,Manual,2,Volkswagen Ameo,2017,510000.0,Petrol,Third Party insurance,5.0,1198.0,17.0,White,No,No,Power,170.0,4,330,chennai
1577,Sedan,65000,Manual,1,Honda City,2017,830000.0000000001,Petrol,Comprehensive,5.0,1497.0,17.4,Silver,No,No,Power,189.0,4,510,chennai
1578,SUV,30000,Automatic,2,Land Rover Discovery Sport,2017,3900000.0,Diesel,Third Party insurance,7.0,2179.0,12.51,Red,No,Yes,Power,188.0,5,280,chennai
1579,Sedan,71423,Automatic,1,Honda City,2012,510000.0,Petrol,Comprehensive,5.0,1497.0,15.6,Golden,No,No,Power,170.0,4,506,chennai
1580,MUV,80000,Automatic,1,Maruti XL6,2019,1200000.0,Petrol,Third Party insurance,6.0,1462.0,17.99,Others,No,No,Power,170.0,5,209,chennai
1581,Sedan,85759,Manual,1,Honda City,2017,766000.0,Petrol,Third Party,5.0,1497.0,17.8,Brown,No,No,Power,195.0,4,510,chennai
1582,Hatchback,24422,Manual,1,Hyundai Santro,2019,449000.0,Petrol,Zero Dep,5.0,1086.0,20.3,Silver,No,No,Power,170.0,5,235,chennai
1583,Sedan,90000,Manual,4,Hyundai Verna,2017,750000.0,Petrol,Third Party insurance,5.0,1591.0,17.0,White,No,No,Power,170.0,4,480,chennai
1584,Hatchback,67091,Manual,2,Honda Brio,2012,317000.0,Petrol,Third Party,5.0,1198.0,19.4,Red,No,No,Power,170.0,5,175,chennai
1585,SUV,72787,Manual,1,MG Hector,2020,1560000.0,Petrol,Third Party,5.0,1451.0,15.81,Maroon,Yes,No,Power,170.0,5,587,chennai
1586,SUV,120000,Manual,2,Ford Endeavour,2017,1900000.0,Diesel,Third Party insurance,7.0,2198.0,13.5,Others,Yes,No,Power,170.0,5,9544,chennai
1587,Hatchback,90142,Manual,1,Hyundai Grand i10,2017,522000.0,Petrol,Comprehensive,5.0,1197.0,18.9,Red,No,No,Power,165.0,5,256,chennai
1588,Hatchback,150000,Manual,1,Hyundai i20,2015,500000.0,Petrol,Third Party insurance,5.0,1197.0,18.6,Others,No,No,Power,170.0,5,295,chennai
1589,Hatchback,33256,Manual,1,Ford Freestyle,2018,627000.0,Petrol,Comprehensive,5.0,1194.0,19.0,Red,No,No,Power,144.93,5,257,chennai
1590,Hatchback,70027,Automatic,1,Maruti Baleno,2018,687000.0,Petrol,Comprehensive,5.0,1197.0,21.4,Silver,No,No,Power,180.0,5,339,chennai
1591,Sedan,120000,Manual,3,Hyundai Sonata,2007,205000.0,Diesel,Third Party insurance,5.0,1991.0,13.6,White,No,No,Power,170.0,4,560,chennai
1592,Hatchback,60000,Manual,2,Volkswagen Polo,2015,525000.0,Petrol,Third Party insurance,5.0,1199.0,16.2,Others,No,No,Power,165.0,5,280,chennai
1593,Hatchback,73686,Manual,1,Maruti Swift,2017,620000.0,Diesel,Third Party insurance,5.0,1248.0,25.2,Grey,Yes,No,Power,155.0,5,204,chennai
1594,SUV,44000,Manual,2,Mahindra TUV 300,2018,825000.0,Diesel,Comprehensive,7.0,1493.0,18.49,Red,Yes,No,Power,156.0,5,384,chennai
1595,Hatchback,75581,Manual,1,Maruti Swift,2015,530000.0,Petrol,Comprehensive,5.0,1197.0,21.21,White,No,No,Electric,170.0,5,268,chennai
1596,SUV,58000,Automatic,1,Mercedes-Benz M-Class,2015,3600000.0,Diesel,Comprehensive,5.0,2143.0,15.26,Blue,Yes,No,Power,210.0,5,690,chennai
1597,Sedan,50000,Automatic,2,Audi A3,2015,1950000.0,Diesel,Comprehensive,5.0,1968.0,20.38,P Black,Yes,No,Power,215.0,4,425,chennai
