,Body type,Kilometers driven,Transmission type,Number of Owners,Car model,Year of manufacture,price,Fuel Type,Insurance Validity,Seats,Engine,Mileage,Color,Turbo Charger,Super Charger,Steering Type,Top Speed,No of doors,Cargo Volumn,City
0,Hatchback,120000,Manual,3,Maruti Celerio,2015,400000.0,Petrol,Third Party insurance,5.0,998.0,23.1,White,No,No,Power,150.0,5,235,bangalore
1,SUV,32706,Manual,2,Ford Ecosport,2018,811000.0,Petrol,Comprehensive,5.0,1497.0,17.0,White,No,No,Power,170.0,4,352,bangalore
2,Hatchback,11949,Manual,1,Tata Tiago,2018,585000.0,Petrol,Comprehensive,5.0,1199.0,23.84,Red,No,No,Power,150.0,5,242,bangalore
3,Sedan,17794,Manual,1,Hyundai Xcent,2014,462000.0,Petrol,Comprehensive,5.0,1197.0,19.1,Others,No,No,Power,172.0,4,407,bangalore
4,SUV,60000,Manual,1,Maruti SX4 S Cross,2015,790000.0,Diesel,Third Party insurance,5.0,1248.0,23.65,Gray,Yes,No,Power,190.0,5,353,bangalore
5,SUV,20000,Manual,1,Jeep Compass,2020,1900000.0,Diesel,Third Party insurance,5.0,1956.0,17.1,Others,Yes,No,Power,170.0,5,408,bangalore
6,Hatchback,37772,Manual,1,Datsun GO,2017,345000.0,Petrol,Comprehensive,5.0,1198.0,20.63,Grey,No,No,Power,150.0,5,265,bangalore
7,SUV,30000,Automatic,1,Hyundai Venue,2021,1200000.0,Petrol,Third Party insurance,5.0,998.0,18.15,Others,Yes,No,Power,170.0,5,350,bangalore
8,Sedan,37000,Automatic,1,Maruti Ciaz,2018,960000.0,Petrol,Comprehensive,5.0,1462.0,20.28,Maroon,No,No,Power,170.0,4,510,bangalore
9,Hatchback,11949,Manual,1,Tata Tiago,2017,585000.0,Petrol,Comprehensive,5.0,1199.0,23.84,Red,No,No,Power,150.0,5,242,bangalore
10,Hatchback,50000,Manual,1,Maruti Baleno,2018,690000.0,Petrol,Third Party insurance,5.0,1197.0,21.4,Red,No,No,Power,180.0,5,339,bangalore
11,Hatchback,24887,Automatic,1,Hyundai Grand i10,2019,682000.0,Petrol,Third Party insurance,5.0,1197.0,18.9,Orange,No,No,Power,165.0,5,256,bangalore
12,Hatchback,23000,Automatic,1,Honda Jazz,2018,825000.0,Petrol,Comprehensive,5.0,1199.0,18.2,Grey,No,No,Power,172.0,5,354,bangalore
13,Hatchback,48928,Automatic,1,Tata Tiago,2018,595000.0,Petrol,Comprehensive,5.0,1199.0,23.84,Red,No,No,Power,150.0,5,242,bangalore
14,SUV,108862,Manual,3,Mahindra XUV500,2014,690000.0,Diesel,Comprehensive,7.0,2179.0,15.1,Silver,Yes,No,Power,175.0,5,9544,bangalore
15,SUV,80000,Manual,1,Jeep Compass,2018,1350000.0,Diesel,Third Party insurance,5.0,1956.0,17.1,Others,Yes,No,Power,170.0,5,408,bangalore
16,SUV,16000,Automatic,1,Mercedes-Benz GLA,2022,5595000.0,Diesel,Comprehensive,5.0,1950.0,19.255853130413264,Blue,Yes,No,Power,219.0,5,9544,bangalore
17,Hatchback,65376,Manual,2,Hyundai i20,2014,521000.0,Diesel,Comprehensive,5.0,1396.0,21.27,Blue,No,No,Power,170.0,5,9544,bangalore
18,SUV,10000,Manual,1,Tata Nexon,2022,1005000.0,Petrol,Third Party insurance,5.0,1199.0,17.33,Others,No,No,Electric,170.0,5,350,bangalore
19,Sedan,67000,Manual,2,Honda City,2016,775000.0,Petrol,Comprehensive,5.0,1497.0,17.8,Brown,No,No,Power,195.0,4,510,bangalore
20,Sedan,100000,Automatic,3,BMW 5 Series,2011,2200000.0,Diesel,Third Party insurance,5.0,1995.0,18.48,White,No,Yes,Power,226.0,4,520,bangalore
21,Hatchback,18083,Manual,1,Maruti Swift,2016,582000.0,Petrol,Comprehensive,5.0,1197.0,22.38,Silver,No,No,Electric,170.0,5,268,bangalore
22,SUV,30000,Manual,1,Renault Duster,2020,1090000.0,Petrol,Third Party insurance,5.0,1498.0,16.42,Others,No,No,Power,170.0,5,475,bangalore
23,Hatchback,57634,Manual,2,Tata Tiago,2016,457000.0,Petrol,Comprehensive,5.0,1199.0,23.84,Silver,No,No,Power,150.0,5,242,bangalore
24,Sedan,50000,Automatic,2,Mercedes-Benz S-Class,2016,4900000.0,Petrol,Third Party insurance,5.0,4663.0,7.81,Others,Yes,No,Power,250.0,4,530,bangalore
25,Sedan,110000,Manual,1,Honda City,2015,550000.0,Petrol,Third Party insurance,5.0,1497.0,17.4,Others,No,No,Power,195.0,4,510,bangalore
26,Hatchback,23447,Automatic,1,Hyundai Santro,2018,570000.0,Petrol,Comprehensive,5.0,1086.0,20.3,Yellow,No,No,Power,170.0,5,235,bangalore
27,Hatchback,30000,Manual,2,Hyundai Santro Xing,2009,220000.00000000003,LPG,Third Party insurance,5.0,1086.0,13.45,Others,No,No,Power,170.0,5,9544,bangalore
28,Sedan,33000,Automatic,1,Mercedes-Benz E-Class,2017,4145000.000000001,Petrol,Comprehensive,5.0,1991.0,15.0,White,Yes,No,Electric,236.0,4,540,bangalore
29,SUV,87667,Manual,2,Mahindra XUV500,2014,861000.0,Diesel,Third Party,7.0,2179.0,15.1,Black,Yes,No,Power,175.0,5,9544,bangalore
30,Sedan,40000,Automatic,2,Audi A4,2016,1785000.0000000002,Diesel,Third Party insurance,5.0,1968.0,17.11,Others,Yes,No,Power,222.0,4,480,bangalore
31,SUV,79012,Manual,2,Mahindra XUV500,2014,802999.9999999999,Diesel,Comprehensive,7.0,2179.0,15.1,Silver,Yes,No,Power,175.0,5,9544,bangalore
32,SUV,31344,Manual,1,Jeep Compass,2021,2565000.0,Diesel,Comprehensive,5.0,1956.0,17.1,Black,Yes,No,Power,170.0,5,9544,bangalore
33,Sedan,50000,Manual,1,Hyundai Xcent,2018,674000.0,Petrol,Third Party insurance,5.0,1197.0,20.14,Others,No,No,Power,172.0,4,407,bangalore
34,Hatchback,12434,Manual,1,Maruti Wagon R,2015,349000.0,Petrol,Comprehensive,5.0,998.0,20.51,Brown,No,No,Power,152.0,5,180,bangalore
35,MUV,60000,Manual,2,Maruti Ertiga,2019,1050000.0,Petrol,Third Party insurance,7.0,1462.0,19.34,Others,No,No,Power,170.0,5,209,bangalore
36,Sedan,12000,Automatic,1,Mercedes-Benz C-Class,2019,4425000.0,Diesel,Comprehensive,5.0,1950.0,12.6,White,Yes,No,Power,240.0,4,480,bangalore
37,Hatchback,40987,Manual,2,Maruti Wagon R,2015,406000.0,Petrol,Comprehensive,5.0,998.0,20.51,White,No,No,Power,152.0,5,180,bangalore
38,Sedan,18157,Automatic,1,BMW 5 Series,2020,4965000.0,Petrol,Zero Dep,5.0,1998.0,15.56,Blue,Twin,No,Power,250.0,4,520,bangalore
39,SUV,120000,Manual,3,Toyota Fortuner,2011,1100000.0,Diesel,Third Party insurance,7.0,2982.0,11.5,Others,Yes,No,Power,176.0,5,9544,bangalore
40,SUV,40000,Automatic,2,Renault Duster,2020,1100000.0,Diesel,Third Party insurance,5.0,1461.0,19.87,Others,No,No,Power,170.0,5,475,bangalore
41,Hatchback,89667,Manual,1,Hyundai i20,2016,594000.0,Petrol,Comprehensive,5.0,1197.0,18.6,White,No,No,Power,170.0,5,295,bangalore
42,Hatchback,120000,Manual,1,Hyundai i20,2017,710000.0,Diesel,Third Party insurance,5.0,1396.0,22.54,Others,Yes,No,Power,180.0,5,295,bangalore
43,Hatchback,56997,Manual,1,Maruti Baleno,2017,692000.0,Petrol,Zero Dep,5.0,1197.0,21.4,Blue,No,No,Power,180.0,5,339,bangalore
44,Sedan,120000,Manual,1,Hyundai Elantra,2013,650000.0,Petrol,Third Party insurance,5.0,1797.0,16.3,Others,No,No,Power,191.0,4,420,bangalore
45,Sedan,59000,Automatic,1,Audi A6,2015,2090000.0,Diesel,Third Party insurance,5.0,1968.0,18.53,White,Yes,No,Power,232.0,4,530,bangalore
46,Hatchback,18835,Manual,1,Maruti Alto 800,2021,411000.00000000006,Petrol,Zero Dep,5.0,796.0,22.05,Silver,No,No,Power,170.0,5,9544,bangalore
47,SUV,120000,Manual,2,Mahindra Scorpio,2010,650000.0,Diesel,Third Party insurance,7.0,2179.0,12.05,Gray,Yes,No,Power,170.0,5,9544,bangalore
48,Hatchback,40000,Automatic,1,Mini 3 DOOR,2016,3675000.0,Petrol,Comprehensive,4.0,1998.0,17.33,White,Yes,No,Electric,233.0,3,211,bangalore
49,Hatchback,60932,Manual,1,Tata Tiago,2019,610000.0,Petrol,Comprehensive,5.0,1199.0,23.84,Red,No,No,Power,150.0,5,242,bangalore
50,SUV,33539,Automatic,2,Kia Seltos,2020,1675000.0,Petrol,Comprehensive,5.0,1353.0,16.5,White,Yes,No,Electric,170.0,5,433,bangalore
51,Hatchback,66837,Manual,2,Tata Tiago,2018,530000.0,Petrol,Comprehensive,5.0,1199.0,23.84,Brown,No,No,Power,150.0,5,242,bangalore
52,Sedan,400,Automatic,1,Mercedes-Benz E-Class,2022,7990000.000000001,Diesel,Third Party,5.0,2925.0,19.255853130413264,White,Yes,No,Electric,250.0,4,9544,bangalore
53,Hatchback,60000,Manual,2,Maruti Alto,2008,250000.0,Petrol,Third Party insurance,5.0,796.0,19.7,Others,No,No,Power,137.0,5,9544,bangalore
54,Hatchback,44285,Manual,1,Hyundai i20,2019,715000.0,Petrol,Third Party insurance,5.0,1197.0,18.6,Grey,No,No,Power,170.0,5,285,bangalore
55,SUV,100000,Automatic,2,Mercedes-Benz GL-Class,2014,3500000.0,Diesel,Third Party insurance,7.0,2987.0,11.3,Others,Yes,No,Power,220.0,5,680,bangalore
56,SUV,25000,Automatic,1,Tata New Safari,2021,2250000.0,Diesel,Comprehensive,6.0,1956.0,14.08,White,Yes,No,Power,170.0,5,73,bangalore
57,Hatchback,36735,Manual,1,Hyundai Grand i10,2018,625000.0,Petrol,Comprehensive,5.0,1197.0,18.9,Blue,No,No,Power,165.0,5,256,bangalore
58,SUV,79000,Automatic,1,Audi Q7,2015,2695000.0,Diesel,Comprehensive,7.0,2967.0,12.07,White,Yes,No,Power,215.0,5,330,bangalore
59,SUV,120000,Manual,2,Mahindra Scorpio,2010,650000.0,Diesel,Third Party insurance,8.0,2179.0,12.05,Gray,Yes,No,Power,170.0,5,9544,bangalore
60,Hatchback,10000,Automatic,1,Renault KWID,2022,550000.0,Petrol,Third Party insurance,5.0,999.0,22.0,Others,No,No,Electric,170.0,5,279,bangalore
61,SUV,53645,Manual,1,Tata Nexon,2018,825000.0,Diesel,Comprehensive,5.0,1497.0,21.5,White,Yes,No,Power,154.19,5,350,bangalore
62,Hatchback,100000,Manual,2,Hyundai Getz,2006,220000.00000000003,Petrol,Third Party insurance,5.0,1341.0,15.3,Others,No,No,Power,166.0,5,9544,bangalore
63,Hatchback,53982,Automatic,1,Maruti Celerio,2014,428000.0,Petrol,Comprehensive,5.0,998.0,26.68,Others,No,No,Electric,170.0,5,313,bangalore
64,Sedan,110000,Manual,1,Skoda Rapid,2014,695000.0,Diesel,Third Party insurance,5.0,1498.0,21.14,Black,Yes,No,Power,183.0,4,460,bangalore
65,SUV,37741,Manual,2,Ford Ecosport,2019,930000.0,Petrol,Third Party insurance,5.0,1496.0,15.9,White,No,No,Electric,170.0,4,352,bangalore
66,Hatchback,17367,Manual,1,Maruti Alto 800,2021,455000.0,Petrol,Comprehensive,5.0,796.0,22.05,Silver,No,No,Power,170.0,5,9544,bangalore
67,SUV,94000,Manual,1,Hyundai Creta,2017,1195000.0,Diesel,Comprehensive,5.0,1582.0,19.67,Grey,Yes,No,Power,190.0,5,400,bangalore
68,SUV,33700,Automatic,1,Tata Harrier,2021,2175000.0,Diesel,Comprehensive,5.0,1956.0,14.6,Grey,Yes,No,Power,170.0,5,425,bangalore
69,Hatchback,54601,Manual,3,Maruti Swift,2014,442000.0,Petrol,Comprehensive,5.0,1197.0,22.38,White,No,No,Electric,170.0,5,268,bangalore
70,Hatchback,110000,Manual,1,Maruti Swift,2018,690000.0,Diesel,Third Party insurance,5.0,1248.0,28.4,Others,Yes,No,Power,170.0,5,268,bangalore
71,Hatchback,64000,Manual,2,Maruti Celerio,2017,500000.0,Petrol,Third Party,5.0,998.0,23.1,Red,No,No,Power,150.0,5,235,bangalore
72,Sedan,40525,Automatic,1,BMW 3 Series GT,2016,3395000.0000000005,Diesel,Comprehensive,5.0,1995.0,21.76,White,Yes,No,Power,226.0,4,520,bangalore
73,Sedan,100000,Manual,1,Maruti Ciaz,2015,650000.0,Diesel,Third Party insurance,5.0,1248.0,26.21,White,Yes,No,Power,160.0,4,510,bangalore
74,Hatchback,44154,Automatic,2,Honda Jazz,2016,537000.0,Petrol,Comprehensive,5.0,1199.0,19.0,White,No,No,Power,172.0,5,354,bangalore
75,MUV,70000,Manual,1,Renault Lodgy,2016,750000.0,Diesel,Third Party insurance,7.0,1461.0,19.98,White,Yes,No,Power,170.0,5,207,bangalore
76,Sedan,79000,Automatic,1,Skoda Octavia,2018,1789999.9999999998,Petrol,Comprehensive,5.0,1798.0,15.1,White,Yes,No,Power,220.0,4,590,bangalore
77,Hatchback,68039,Manual,2,Tata Tiago,2017,468000.0,Petrol,Third Party insurance,5.0,1199.0,23.84,Orange,No,No,Power,150.0,5,242,bangalore
78,Hatchback,60000,Manual,2,Maruti Ritz,2014,420000.0,Petrol,Third Party insurance,5.0,1197.0,18.5,Silver,No,No,Power,156.0,5,236,bangalore
79,Hatchback,60000,Manual,2,Maruti Ritz,2014,420000.0,Petrol,Third Party insurance,5.0,1197.0,18.5,Silver,No,No,Power,156.0,5,236,bangalore
80,Hatchback,10000,Manual,1,Hyundai i20,2021,920000.0,Petrol,Third Party insurance,5.0,998.0,20.0,Others,Yes,No,Electric,170.0,5,311,bangalore
81,Sedan,49873,Manual,1,Honda City,2013,533000.0,Petrol,Third Party,5.0,1497.0,16.8,Yellow,No,No,Power,170.0,4,506,bangalore
82,Hatchback,90000,Automatic,3,Volkswagen Polo,2013,850000.0,Petrol,Third Party insurance,5.0,1197.0,17.2,Others,Yes,No,Power,170.0,5,9544,bangalore
83,Sedan,48960,Manual,2,Skoda Rapid,2017,751000.0,Diesel,Third Party insurance,5.0,1498.0,21.13,Silver,Yes,No,Power,185.0,4,460,bangalore
84,Hatchback,70000,Manual,2,Hyundai Grand i10,2014,388000.0,Diesel,Third Party insurance,5.0,1120.0,24.0,Others,No,No,Power,157.0,5,256,bangalore
85,Hatchback,68000,Manual,2,Hyundai i20,2013,490000.00000000006,Petrol,Comprehensive,5.0,1197.0,18.5,Silver,No,No,Power,170.0,5,9544,bangalore
86,SUV,23017,Manual,1,Mahindra KUV 100,2016,494000.00000000006,Diesel,Third Party,6.0,1198.0,25.32,Orange,Yes,No,Power,160.0,5,243,bangalore
87,Hatchback,83000,Manual,2,Hyundai i20,2013,525000.0,Diesel,Comprehensive,5.0,1396.0,21.27,Brown,No,No,Power,170.0,5,9544,bangalore
88,SUV,92000,Automatic,2,BMW X3,2016,2890000.0,Diesel,Comprehensive,5.0,1995.0,16.55,White,Twin,No,Electric,170.0,5,9544,bangalore
89,Hatchback,62139,Manual,1,Maruti Wagon R,2018,550000.0,Petrol,Comprehensive,5.0,998.0,20.51,Red,No,No,Power,152.0,5,180,bangalore
90,Hatchback,74000,Manual,1,Hyundai i10,2013,365000.0,LPG,Comprehensive,5.0,1086.0,19.2,Grey,No,No,Power,165.0,5,225,bangalore
91,Hatchback,26500,Automatic,2,Renault KWID,2016,420000.0,Petrol,Comprehensive,5.0,999.0,24.04,Red,No,No,Power,159.4,5,300,bangalore
92,Sedan,81716,Automatic,1,Volvo S60,2017,1895000.0,Diesel,Comprehensive,5.0,1969.0,27.03,Silver,Yes,No,Power,215.0,4,380,bangalore
93,Sedan,24000,Automatic,2,Mercedes-Benz E-Class,2018,5990000.0,Diesel,Comprehensive,5.0,2987.0,17.0,White,Yes,No,Electric,250.0,4,540,bangalore
94,SUV,10000,Automatic,1,Mahindra XUV300,2022,1050000.0,Petrol,Third Party insurance,5.0,1197.0,17.0,White,Yes,No,Power,170.0,5,259,bangalore
95,SUV,18000,Automatic,1,MG Hector Plus,2021,2075000.0,Petrol,Comprehensive,6.0,1451.0,16.56,Black,Yes,No,Power,170.0,5,155,bangalore
96,Hatchback,38197,Manual,1,Honda Brio,2013,394000.0,Petrol,Third Party,5.0,1198.0,19.4,Others,No,No,Power,170.0,5,175,bangalore
97,Hatchback,23000,Automatic,2,Maruti Baleno,2017,725000.0,Petrol,Comprehensive,5.0,1197.0,19.56,Grey,No,No,Electric,170.0,5,339,bangalore
98,Hatchback,50000,Manual,1,Maruti Alto K10,2013,240000.0,Petrol,Third Party insurance,5.0,998.0,20.92,Red,No,No,Power,170.0,5,9544,bangalore
99,SUV,10000,Automatic,1,Renault Kiger,2022,835000.0,Petrol,Third Party insurance,5.0,999.0,19.03,Others,No,No,Electric,170.0,5,405,bangalore
100,Hatchback,19000,Manual,1,Hyundai Grand i10,2019,695000.0,Petrol,Third Party insurance,5.0,1197.0,18.9,Blue,No,No,Power,165.0,5,256,bangalore
101,SUV,14000,Automatic,1,Kia Seltos,2020,1725000.0,Petrol,Comprehensive,5.0,1353.0,16.5,White,Yes,No,Electric,170.0,5,433,bangalore
102,Hatchback,29268,Manual,1,Hyundai EON,2014,330000.0,Petrol,Comprehensive,5.0,814.0,21.1,White,No,No,Power,135.0,5,215,bangalore
103,Sedan,20000,Automatic,1,Volkswagen Vento,2019,990000.0,Petrol,Third Party insurance,5.0,1197.0,18.19,Others,Yes,No,Power,185.0,4,494,bangalore
104,Sedan,30000,Manual,1,Toyota Yaris,2018,750000.0,Petrol,Third Party insurance,5.0,1496.0,17.1,Others,No,No,Power,170.0,4,476,bangalore
105,Hatchback,64374,Automatic,1,Honda Jazz,2018,755000.0,Petrol,Third Party insurance,5.0,1199.0,19.0,Grey,No,No,Power,172.0,5,354,bangalore
106,SUV,30000,Manual,1,MG Hector,2021,1750000.0,Diesel,Third Party insurance,5.0,1956.0,17.41,Others,Yes,No,Power,170.0,5,587,bangalore
107,SUV,7100,Automatic,1,Hyundai Alcazar,2022,2083000.0,Petrol,Comprehensive,6.0,1999.0,14.2,White,No,No,Power,170.0,5,9544,bangalore
108,Hatchback,43679,Manual,1,Hyundai i10,2010,271000.0,Petrol,Comprehensive,5.0,1086.0,19.81,Silver,No,No,Power,170.0,5,9544,bangalore
109,SUV,40000,Automatic,1,Hyundai Creta,2018,1280000.0,Petrol,Third Party insurance,5.0,1591.0,14.8,Others,No,No,Power,170.0,5,400,bangalore
110,Hatchback,40562,Manual,1,Hyundai i20,2012,436000.00000000006,Diesel,Third Party,5.0,1396.0,22.54,Red,No,No,Power,170.0,5,9544,bangalore
111,SUV,26500,Automatic,2,Hyundai Creta,2021,1675000.0,Petrol,Comprehensive,5.0,1397.0,19.255853130413264,White,Yes,No,Power,170.0,5,9544,bangalore
112,SUV,20000,Automatic,1,Hyundai Venue,2019,1250000.0,Petrol,Third Party insurance,5.0,998.0,18.15,Others,Yes,No,Power,170.0,5,350,bangalore
113,SUV,58600,Automatic,1,Mahindra XUV500,2016,1350000.0,Diesel,Third Party insurance,7.0,2179.0,16.0,Silver,Yes,No,Power,185.0,5,720,bangalore
114,SUV,20000,Automatic,1,Hyundai Venue,2019,1250000.0,Petrol,Third Party insurance,5.0,998.0,18.15,Others,Yes,No,Power,170.0,5,350,bangalore
115,SUV,42050,Automatic,1,Volkswagen T-Roc,2020,2225000.0,Petrol,Comprehensive,5.0,1498.0,18.4,White,Yes,No,Power,170.0,5,445,bangalore
116,Hatchback,65017,Automatic,1,Maruti Celerio,2015,475000.0,Petrol,Second Party insurance,5.0,998.0,23.1,White,No,No,Power,150.0,5,235,bangalore
117,Sedan,80000,Automatic,2,BMW 3 Series,2008,600000.0,Diesel,Third Party insurance,5.0,1995.0,13.2,Others,Yes,No,Power,216.0,4,460,bangalore
118,SUV,30000,Automatic,1,Jeep Compass,2021,2450000.0,Petrol,Third Party insurance,5.0,1368.0,14.1,Others,No,No,Power,170.0,5,9544,bangalore
119,SUV,20000,Automatic,1,Kia Seltos,2020,1625000.0,Petrol,Third Party insurance,5.0,1353.0,16.5,Others,Yes,No,Electric,170.0,5,433,bangalore
120,Sedan,36349,Automatic,1,Skoda Superb,2014,1650000.0,Diesel,Third Party insurance,5.0,1968.0,17.2,White,Yes,No,Power,170.0,4,565,bangalore
121,Hatchback,80000,Manual,3,Hyundai i10,2009,249000.00000000003,Petrol,Third Party insurance,5.0,1197.0,20.36,Others,No,No,Power,170.0,4,9544,bangalore
122,SUV,83394,Manual,2,Renault Duster,2014,630000.0,Petrol,Third Party insurance,5.0,1598.0,13.24,Red,No,No,Power,170.0,5,475,bangalore
123,SUV,30000,Automatic,2,Audi Q5,2016,2599000.0,Diesel,Third Party insurance,5.0,1968.0,14.16,Others,Yes,No,Power,200.0,5,540,bangalore
124,Hatchback,80000,Manual,3,Hyundai i10,2009,249000.00000000003,Petrol,Third Party insurance,5.0,1197.0,20.36,Others,No,No,Power,170.0,4,9544,bangalore
125,Hatchback,52204,Manual,1,Maruti Alto K10,2017,385000.0,Petrol,Third Party,5.0,998.0,24.39,Silver,No,No,Power,170.0,5,214,bangalore
126,Hatchback,110000,Manual,3,Hyundai i20,2012,300000.0,Petrol,Third Party insurance,5.0,1197.0,17.0,Red,No,No,Power,170.0,5,295,bangalore
127,SUV,89000,Automatic,1,Ford Endeavour,2017,2975000.0,Diesel,Third Party insurance,7.0,3198.0,10.91,Black,Yes,No,Power,160.2,5,9544,bangalore
128,Hatchback,29813,Manual,2,Maruti Alto 800,2014,276000.0,Petrol,Comprehensive,5.0,796.0,22.05,Others,No,No,Power,170.0,5,9544,bangalore
129,Hatchback,30000,Manual,1,Ford Figo,2018,500000.0,Petrol,Third Party insurance,5.0,1196.0,18.16,Gray,No,No,EPAS,157.0,5,257,bangalore
130,Hatchback,13345,Automatic,1,Maruti Ignis,2020,730000.0,Petrol,Comprehensive,5.0,1197.0,20.89,White,No,No,Electric,170.0,5,260,bangalore
131,SUV,17100,Automatic,1,Hyundai Alcazar,2022,2245000.0,Diesel,Comprehensive,7.0,1498.0,18.1,Grey,Yes,No,Power,170.0,5,9544,bangalore
132,Hatchback,75000,Manual,1,Hyundai Grand i10,2014,399000.0,Petrol,Comprehensive,5.0,1197.0,18.9,Grey,No,No,Power,165.0,5,256,bangalore
133,Hatchback,75523,Manual,2,Hyundai i10,2011,312000.0,Petrol,Comprehensive,5.0,1197.0,20.36,Red,No,No,Power,170.0,4,9544,bangalore
134,SUV,47000,Manual,1,Mahindra XUV500,2015,1275000.0,Diesel,Comprehensive,7.0,2179.0,16.0,Silver,Yes,No,Power,185.0,5,720,bangalore
135,SUV,36500,Manual,1,Tata Harrier,2022,1990000.0,Diesel,Comprehensive,5.0,1956.0,16.35,White,Yes,No,Power,170.0,5,425,bangalore
136,MUV,28253,Manual,1,Renault Triber,2020,719000.0,Petrol,Comprehensive,7.0,999.0,20.0,Silver,No,No,Electric,170.0,5,84,bangalore
137,SUV,50000,Manual,1,Hyundai Creta,2016,1260000.0,Diesel,Third Party insurance,5.0,1582.0,19.67,White,Yes,No,Power,190.0,5,400,bangalore
138,Hatchback,90000,Manual,2,Hyundai i10,2010,300000.0,Petrol,Third Party insurance,5.0,1197.0,20.36,Others,No,No,Power,170.0,4,9544,bangalore
139,SUV,70000,Automatic,2,BMW X5,2016,3981000.0,Diesel,Third Party insurance,5.0,2993.0,15.97,Others,Yes,No,Power,230.0,5,650,bangalore
140,Hatchback,52571,Manual,1,Hyundai i20,2016,627000.0,Petrol,Comprehensive,5.0,1197.0,18.6,Grey,No,No,Power,170.0,5,295,bangalore
141,Sedan,70000,Automatic,2,BMW 3 Series,2010,1300000.0,Diesel,Third Party insurance,5.0,1995.0,16.07,Others,Yes,No,Power,216.0,4,460,bangalore
142,Sedan,61993,Manual,1,Honda City,2015,672000.0,Petrol,Comprehensive,5.0,1497.0,17.4,Silver,No,No,Power,195.0,4,510,bangalore
143,SUV,57000,Automatic,1,Hyundai Tucson,2017,1825000.0,Diesel,Comprehensive,5.0,1995.0,16.38,White,Yes,No,Power,195.68,5,513,bangalore
144,SUV,80000,Manual,2,Toyota Fortuner,2021,3500000.0,Diesel,Third Party insurance,7.0,2755.0,14.24,Others,Yes,No,Power,170.0,5,9544,bangalore
145,Hatchback,36359,Manual,1,Hyundai i20,2013,440000.00000000006,Petrol,Comprehensive,5.0,1197.0,18.5,Blue,No,No,Power,170.0,5,9544,bangalore
146,SUV,70000,Manual,2,Tata Harrier,2019,1460000.0,Diesel,Third Party insurance,5.0,1956.0,17.0,Others,Yes,No,Power,170.0,4,425,bangalore
147,SUV,7500,Automatic,1,MG Hector,2022,2041000.0,Petrol,Comprehensive,5.0,1451.0,19.255853130413264,White,Yes,No,Power,170.0,5,587,bangalore
148,Sedan,30301,Automatic,1,Hyundai Verna,2017,1033000.0,Petrol,Comprehensive,5.0,1591.0,17.0,Black,No,No,Power,158.83,4,480,bangalore
149,Hatchback,66000,Manual,1,Hyundai i10,2010,275000.0,Petrol,Comprehensive,5.0,1197.0,20.36,Golden,No,No,Power,170.0,4,9544,bangalore
150,Hatchback,56010,Manual,1,Hyundai i20,2017,676000.0,Petrol,Comprehensive,5.0,1197.0,18.6,White,No,No,Power,170.0,5,295,bangalore
151,SUV,47000,Automatic,1,Mercedes-Benz GLC,2017,4290000.0,Diesel,Comprehensive,5.0,2143.0,17.9,White,Yes,No,Power,210.0,5,550,bangalore
152,SUV,60000,Manual,2,Nissan Terrano,2014,650000.0,Diesel,Third Party insurance,5.0,1461.0,19.01,Others,Yes,No,Power,168.0,5,475,bangalore
153,Hatchback,83829,Manual,1,Maruti Swift,2014,444000.00000000006,Diesel,Third Party insurance,5.0,1248.0,25.2,Red,Yes,No,Power,155.0,5,204,bangalore
154,Hatchback,10000,Automatic,1,Renault KWID,2020,510000.0,Petrol,Third Party insurance,5.0,999.0,22.0,Others,No,No,Electric,170.0,5,279,bangalore
155,SUV,35000,Automatic,2,Renault Duster,2016,925000.0,Diesel,Comprehensive,5.0,1461.0,19.6,Grey,Yes,No,Power,168.0,5,475,bangalore
156,Sedan,51116,Automatic,2,Honda City,2019,1024000.0,Petrol,Comprehensive,5.0,1497.0,18.0,White,No,No,Power,195.0,4,510,bangalore
157,Sedan,80000,Manual,3,Skoda Rapid,2016,500000.0,Diesel,Third Party insurance,5.0,1498.0,21.14,Others,Yes,No,Power,183.0,4,460,bangalore
158,Hatchback,40000,Automatic,2,Volkswagen Polo,2017,995000.0,Petrol,Third Party insurance,5.0,1197.0,17.21,Others,Yes,No,Power,177.22,5,280,bangalore
159,SUV,85565,Automatic,2,Honda CR-V,2012,935000.0,Petrol,Comprehensive,5.0,2354.0,11.1,White,No,No,Power,170.0,5,9544,bangalore
160,SUV,36916,Manual,1,Ford Ecosport,2018,834000.0,Petrol,Comprehensive,5.0,1497.0,17.0,Others,No,No,Power,170.0,4,352,bangalore
161,Hatchback,90000,Manual,1,Volkswagen Polo,2015,560000.0,Diesel,Third Party insurance,5.0,1498.0,20.14,Others,Yes,No,Power,163.0,5,280,bangalore
162,Hatchback,112795,Manual,1,Maruti Swift,2012,454000.0,Petrol,Comprehensive,5.0,1197.0,22.38,Silver,No,No,Electric,170.0,5,268,bangalore
163,Sedan,11000,Automatic,1,Mercedes-Benz A-Class Limousine,2021,3690000.0,Petrol,Comprehensive,5.0,1332.0,19.255853130413264,Silver,Yes,No,Electric,230.0,4,9544,bangalore
164,MUV,120000,Manual,2,Toyota Innova,2014,1100000.0,Petrol,Third Party insurance,7.0,1998.0,11.4,Others,No,No,Power,170.0,5,9544,bangalore
