,it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc,heading,bottomData,Engine Displacement,Fuel Type,Insurance Validity,Kms Driven,Ownership,RTO,Registration Year,Seats,Transmission,Year of Manufacture,heading,commonIcon,Engine,Max Power,Mileage,Seats,Torque,Wheel Size,Color,Engine Type,Displacement,Max Power,Max Torque,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,BoreX Stroke,Compression Ratio,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Gear Box,Drive Type,Seating Capacity,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Cargo Volumn,Top Speed,Acceleration,Ground Clearance Unladen,City
10,0,Petrol,Hatchback,"70,000",Automatic,1,1st Owner,Tata,Tata Tiago,2018,5653,1.2 Revotron XZA,₹ 5.30 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1199 cc,Petrol,Third Party insurance,"70,000 Kms",First Owner,TS08,2018,5 Seats,Automatic,2018.0,Specifications,,1199 CC,83.83bhp,23.84 kmpl,5,114Nm,14,Orange,Revotron Engine,1199,83.83bhp@6000rpm,114Nm@3500rpm,3.0,4.0,DOHC,MPFi,77 X 85.8 mm,10.8:1,No,No,3746mm,1647mm,1535mm,2400mm,1400mm,1420mm,1012kg,,5 Speed,FWD,5,Power,4.9 meters,Disc,Drum,Tubeless,14,5,242-litres,150 kmph,,,hyderabad
11,0,Petrol,Hatchback,"33,730",Manual,1,1st Owner,Datsun,Datsun RediGO,2021,7846,1.0 T Option,₹ 4.66 Lakh,₹ 4.89 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,999 cc,Petrol,Third Party insurance,"33,730 Kms",First Owner,TS32,Jan 2022,5 Seats,Manual,2021.0,Specifications,,999 CC,67.05bhp,21.7 kmpl,5,91nm,,Blue,1.0 L Petrol Engine,999,67.05bhp@5550rpm,91nm@4250rpm,3.0,4.0,DOHC,MPFi,,,No,No,3435mm,1574mm,1546mm,2348mm,,,750,,5-Speed,FWD,5,Power,4.7m,Disc,Drum,tubeless tyre,,5,222,,,,hyderabad
12,0,Petrol,Hatchback,"51,113",Manual,1,1st Owner,Renault,Renault KWID,2020,7191,Climber 1.0 MT Opt BSIV,₹ 4.57 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,999 cc,Petrol,Comprehensive,"51,113 Kms",First Owner,TS07,Jun 2020,5 Seats,Manual,2020.0,Specifications,,999 CC,67bhp,23.01 kmpl,5,91Nm,,Blue,Petrol Engine,999,67bhp@5500rpm,91Nm@4250rpm,3.0,4.0,DOHC,MPFi,,,No,No,3731mm,1579mm,1474mm,2422mm,,,765,,5 Speed,FWD,5,Power,4.9 metres,Disc,Drum,"Tubeless,Radial",,5,279,,,184mm,hyderabad
13,0,Diesel,Hatchback,"40,000",Manual,2,2nd Owner,Volkswagen,Volkswagen Polo,2013,1953,Diesel Comfortline 1.2L,₹ 3.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1199 cc,Diesel,Third Party insurance,"40,000 Kms",Second Owner,AP10,2013,5 Seats,Manual,2013.0,Specifications,,1199 CC,73.9bhp,22.07 kmpl,5,180Nm,15,Others,In-Line Diesel Engine,1199,73.9bhp@4200rpm,180Nm@2000rpm,3.0,4.0,,CRDI,,,No,No,3970mm,1682mm,1453mm,2456mm,,,1125kg,,5 Speed,FWD,5,Power,4.97 metres,Disc,Drum,"Tubeless,Radial",15,5,,164.1km/hr,14.4 Seconds,,hyderabad
14,0,Petrol,Hatchback,"40,000",Manual,1,1st Owner,Maruti,Maruti Wagon R,2009,4339,LXI Minor,₹ 2.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1061 cc,Petrol,Third Party insurance,"40,000 Kms",First Owner,AP10,2009,5 Seats,Manual,2009.0,Specifications,,1061 CC,67bhp,18.9 kmpl,5,84Nm,13,Others,FC Petrol Engine,1061,67bhp@6200rpm,84Nm@3500rpm,3.0,4.0,,MPFI,,,No,No,3595mm,1475mm,1700mm,2400mm,1295mm,1290mm,870kg,1350kg,5 Speed,FWD,5,Power,4.6metres,Ventilated Disc,Drum,"Tubeless, Radial",13,4,,,,,hyderabad
15,0,Diesel,SUV,"60,000",Automatic,1,1st Owner,BMW,BMW X1,2020,338,sDrive 20d xLine,₹ 38 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1995 cc,Diesel,Third Party insurance,"60,000 Kms",First Owner,TS08,2020,5 Seats,Automatic,2020.0,Specifications,,1995 CC,188bhp,20.68 kmpl,5,400Nm,17,Others,Diesel Engine,1995,188bhp@4000rpm,400Nm@1750-2500rpm,4.0,4.0,DOHC,CRDi,84 X 90 mm,16.5:1,Yes,No,4439mm,1821mm,1612mm,2670mm,1561mm,1562mm,1550,,8 Speed,FWD,5,Power,5.8 metres,Disc,Disc,Runflat,17,5,505-litres,222 Kmph,7.8 Seconds,,hyderabad
16,0,Petrol,Hatchback,"64,500",Manual,1,1st Owner,Maruti,Maruti Wagon R,2014,6740,VXI,₹ 3.75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,998 cc,Petrol,Comprehensive,"64,500 Kms",First Owner,TS15,Jan 2015,5 Seats,Manual,2014.0,Specifications,,998 CC,67.05bhp,21.79 kmpl,5,90Nm,,Brown,K10B Petrol Engine,998,67.05bhp@5500rpm,90Nm@3500rpm,3.0,4.0,DOHC,MPFI,73  x 79.5 mm,,No,No,3655 mm,1620 mm,1675 mm,2435 mm,,,805-825kg,1340kg,5 Speed,FWD,5,Power,4.7 metres,Disc,Drum,"Tubeless Tyres, Radial",,5,341 Litres,,18.6 Seconds,,hyderabad
17,0,Petrol,Hatchback,"40,000",Manual,1,1st Owner,Maruti,Maruti Wagon R,2020,6771,VXI Opt,₹ 6 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,998 cc,Petrol,Third Party insurance,"40,000 Kms",First Owner,TS08,Sept 2020,5 Seats,Manual,2020.0,Specifications,,998 CC,67.05bhp,21.79 kmpl,5,90Nm,,White,K10B Petrol Engine,998,67.05bhp@5500rpm,90Nm@3500rpm,3.0,4.0,DOHC,MPFI,69 x 72 mm,,No,No,3655 mm,1620 mm,1675 mm,2435 mm,,,805-825kg,1340kg,5 Speed,FWD,5,Power,4.7 metres,Disc,Drum,"Tubeless Tyres, Radial",,5,341 Litres,,18.6 Seconds,,hyderabad
18,0,Diesel,SUV,"80,000",Manual,1,1st Owner,Jeep,Jeep Compass,2018,5929,2.0 Limited,₹ 14 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1956 cc,Diesel,Third Party insurance,"80,000 Kms",First Owner,TS07,2018,5 Seats,Manual,2018.0,Specifications,,1956 CC,170bhp,17.1 kmpl,5,350Nm,17,Others,2.0-Litre 4-Cyl Multijet II Engine,1956,170bhp@3750rpm,350Nm@1750-2500rpm,4.0,4.0,DOHC,CRDI,,,Yes,No,4395mm,1818mm,1640mm,2636mm,,,1562 kgs,,6 Speed,4X2,5,Power,,Disc,Discs,"Radial, Tubless",17,5,408-litres,,,,hyderabad
19,0,Diesel,SUV,"50,000",Manual,1,1st Owner,Jeep,Jeep Compass,2019,6602,2.0 Limited Plus 4X4 BSIV,₹ 19 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1956 cc,Diesel,Third Party insurance,"50,000 Kms",First Owner,TS07,2019,5 Seats,Manual,2019.0,Specifications,,1956 CC,170.63bhp,16.3 kmpl,5,350Nm,18,Others,2.0-Litre 4-Cyl Multijet II Engine,1956,170.63bhp@3750rpm,350Nm@1750-2500rpm,4.0,4.0,DOHC,CRDI,,,Yes,No,4395mm,1818mm,1640mm,2636mm,,,1641 kgs,,6 Speed,4X4,5,power,,Disc,Discs,"Radial, Tubless",18,5,408-litres,,10.03 Seconds,,hyderabad
20,0,Petrol,Hatchback,"40,000",Manual,1,1st Owner,Hyundai,Hyundai i20,2020,8155,Sportz Turbo iMT,₹ 7.40 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,998 cc,Petrol,Third Party insurance,"40,000 Kms",First Owner,TS07,2020,5 Seats,Manual,2020.0,Specifications,,998 CC,118.36bhp,20 kmpl,5,171.62nm,,Others,1.0 l Turbo GDi petrol,998,118.36bhp@6000rpm,171.62nm@1500-4000rpm,3.0,4.0,,,,,Yes,,3995mm,1775mm,1505mm,2580mm,,,1220,,6 Speed IMT,,5,Electric,,Disc,Drum,"Tubeless,Radial",,5,311,,,,hyderabad
21,0,Petrol,Sedan,"39,886",Automatic,2,2nd Owner,Hyundai,Hyundai Aura,2020,7331,SX Plus AMT,₹ 7.66 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Third Party,"39,886 Kms",Second Owner,TS22,Mar 2020,5 Seats,Automatic,2020.0,Specifications,,1197 CC,81.86bhp,20.1 kmpl,5,113.8nm,15,White,1.2 l Kappa dual petrol,1197,81.86bhp@6000rpm,113.8nm@4000rpm,4.0,4.0,,,,,No,,3995mm,1680,1520,2450,,,1110,,5-Speed,,5,Electric,,Disc,Drum,"Tubeless,Radial",15,4,,,,,hyderabad
22,0,Diesel,SUV,"1,07,588",Manual,1,1st Owner,Renault,Renault Duster,2014,5066,85PS Diesel RxL,₹ 4.40 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1461 cc,Diesel,Third Party insurance,"1,07,588 Kms",First Owner,TS08,Apr 2015,5 Seats,Manual,2014.0,Specifications,,1461 CC,83.8bhp,20.45 kmpl,5,200Nm,16,White,dCi Diesel Engine ,1461,83.8bhp@3750rpm,200Nm@1900rpm,4.0,4.0,DOHC,CRDI,,,Yes,No,4315mm,1822mm,1695mm,2673mm,1560mm,1567mm,1240,1758kg,5 speed,FWD,5,Power,5.2 metres,Ventilated Disc,Drum,"Tubeless,Radial",16,5,475-litres,,,,hyderabad
23,0,Petrol,Hatchback,"36,621",Manual,1,1st Owner,Hyundai,Hyundai Grand i10,2017,5604,1.2 Kappa Sportz BSIV,₹ 5.19 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Third Party insurance,"36,621 Kms",First Owner,TS13,Apr 2018,5 Seats,Manual,2017.0,Specifications,,1197 CC,81.86bhp,18.9 kmpl,5,113.75nm,,Red,Kappa VTVT Petrol Engine,1197,81.86bhp@6000rpm,113.75nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,3765mm,1660mm,1520mm,2425mm,1479mm,1493mm,1120,,5 Speed,FWD,5,Power,4.8 metres,Disc,Drum,Tubeless,,5,256,165 Kmph,12.9 Seconds,,hyderabad
24,0,Diesel,SUV,"80,000",Manual,1,1st Owner,MG,MG Hector Plus,2020,7907,Sharp Diesel MT,₹ 16 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1956 cc,Diesel,Third Party insurance,"80,000 Kms",First Owner,AP39,2020,6 Seats,Manual,2020.0,Specifications,,1956 CC,167.67bhp,16.65 kmpl,6,350nm,18,Others,2.0L Turbocharged Diesel,1956,167.67bhp@3750rpm,350nm@1750-2500rpm,4.0,4.0,,,,,YES,,4720mm,1835mm,1760mm,2750mm,,,1860,,6-speed,,6,,,Disc,Disc,"Tubeless, Radial",18,5,155 L,,,192mm,hyderabad
25,0,Petrol,Hatchback,"18,900",Manual,1,1st Owner,Maruti,Maruti S-Presso,2022,9220,VXi Plus BSVI,₹ 5.25 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,998 cc,Petrol,Third Party insurance,"18,900 Kms",First Owner,TS07,Mar 2022,5 Seats,Manual,2022.0,Specifications,,998 CC,65.71bhp,24.76 kmpl,5,89Nm,,Grey,K10C,998,65.71bhp@5500rpm,89Nm@3500rpm,3.0,4.0,,,,,,,3565mm,1520,1567,2380,1316,1318,736-775,1170,5 Speed,FWD,5,Power,4.5,Ventilated Disc,Drum,"Tubeless, Radial",,5,,,,,hyderabad
26,0,Diesel,SUV,"70,754",Manual,1,1st Owner,Kia,Kia Seltos,2019,7115,HTK Plus D,₹ 11.08 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1493 cc,Diesel,Zero Dep,"70,754 Kms",First Owner,TS11,Nov 2019,5 Seats,Manual,2019.0,Specifications,,1493 CC,113.43bhp,20.8 kmpl,5,250nm,16,White,1.5 L CRDi VGT,1493,113.43bhp@4000rpm,250nm@1500-2750rpm,4.0,4.0,,CRDi,,,Yes,,4315mm,1800mm,1645mm,2610mm,,,1475,,6-Speed,FWD,5,Electric,,Disc,Disc,"Tubeless, Radial",16,5,433,,,,hyderabad
27,0,Petrol,Hatchback,"59,832",Manual,1,1st Owner,Maruti,Maruti S-Presso,2020,7172,VXI 2019-2022,₹ 4.20 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,998 cc,Petrol,Third Party insurance,"59,832 Kms",First Owner,TS28,Dec 2020,5 Seats,Manual,2020.0,Specifications,,998 CC,65.71bhp,21.7 kmpl,5,89Nm,,Grey,K10C,998,65.71bhp@5500rpm,89Nm@3500rpm,3.0,4.0,,,,,,,3565,1520,1567,2380,1316,1318,736-775,1170,5 Speed,FWD,5,Power,4.5,Ventilated Disc,Drum,"Tubeless, Radial",,5,,,,,hyderabad
28,0,Petrol,Sedan,"60,068",Manual,2,2nd Owner,Maruti,Maruti Swift Dzire,2017,7077,VXI 1.2,₹ 6.05 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Third Party,"60,068 Kms",Second Owner,TS08,Sept 2017,5 Seats,Manual,2017.0,Specifications,,1197 CC,81.80bhp,21.21 kmpl,5,113Nm,,Red,K Series VVT Engine,1197,81.80bhp@6000rpm,113Nm@4200rpm,4.0,4.0,DOHC,MPFI,,,No,No,3995mm,1735mm,1515mm,2450mm,1530mm,1520mm,860-895Kg,1315Kg,5 Speed,FWD,5,Power,4.8 metres,Disc,Drum,"Tubeless,Radial",,4,378,,12.6 Seconds,,hyderabad
29,0,Petrol,Hatchback,"41,261",Manual,1,1st Owner,Maruti,Maruti Alto 800,2018,7073,LXI,₹ 3.26 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,796 cc,Petrol,Comprehensive,"41,261 Kms",First Owner,TS30,Nov 2018,5 Seats,Manual,2018.0,Specifications,,796 CC,47.33bhp,22.05 kmpl,5,69Nm,,Silver,F8D Petrol Engine,796,47.33bhp@6000rpm,69Nm@3500rpm,3.0,4.0,,,,,,,3445,1515,1475,2360,1295,1290,755,1185,5 Speed,,5,,4.6,Disc,Drum,Tubeless Tyres,,5,,,,,hyderabad
30,0,Petrol,SUV,"32,209",Manual,1,1st Owner,Ford,Ford Ecosport,2020,6087,1.5 Petrol Titanium BSIV,₹ 9.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1497 cc,Petrol,Third Party insurance,"32,209 Kms",First Owner,TS07,Jun 2020,5 Seats,Manual,2020.0,Specifications,,1497 CC,121.31bhp,17 kmpl,5,150Nm,16,White,Ti-VCT Petrol Engine,1497,121.31bhp@6500rpm,150Nm@4500rpm,3.0,4.0,DOHC,Direct Injection,79 X 76.5 mm,11.0:1,No,No,3998mm,1765mm,1647mm,2519mm,,,1242Kg,1660Kg,5 Speed,FWD,5,Power,5.3 metres,Ventilated Disc,Drum,"Tubeless,Radial",16,4,352-litres,,,,hyderabad
31,0,Petrol,Hatchback,"75,747",Manual,1,1st Owner,Honda,Honda Jazz,2018,1339,1.2 V i VTEC,₹ 6.39 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1199 cc,Petrol,Comprehensive,"75,747 Kms",First Owner,TS09,Mar 2018,5 Seats,Manual,2018.0,Specifications,,1199 CC,88.7bhp,18.7 kmpl,5,110Nm,15,Brown,i-VTEC Petrol Engine,1199,88.7bhp@6000rpm,110Nm@4800rpm,4.0,4.0,SOHC,PGM - Fi,,,No,No,3955mm,1694mm,1544mm,2530mm,,,1044kg,,5 Speed,FWD,5,Power,5.1 meters,Disc,Drum,"Tubeless,Radial",15,5,354-litres,172 Kmph,13.7 Seconds,,hyderabad
32,0,Petrol,Hatchback,"49,241",Manual,2,2nd Owner,Hyundai,Hyundai i20,2018,5701,1.2 Asta Option,₹ 7.12 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Third Party insurance,"49,241 Kms",Second Owner,TS10,Jul 2018,5 Seats,Manual,2018.0,Specifications,,1197 CC,81.83bhp,18.6 kmpl,5,114.7Nm,16,White,Kappa VTVT Petrol Engine,1197,81.83bhp@6000rpm,114.7Nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,3985mm,1734mm,1505mm,2570mm,1505mm,1503mm,1066kg,,5 Speed,FWD,5,Power,5.2 metres,Disc,Drum,Tubeless,16,5,295-litres,170 Kmph,13.2 Seconds,,hyderabad
