,it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc,heading,bottomData,Engine Displacement,Fuel Type,Insurance Validity,Kms Driven,Ownership,RTO,Registration Year,Seats,Transmission,Year of Manufacture,heading,commonIcon,Engine,Max Power,Mileage,Seats,Torque,Wheel Size,Color,Engine Type,Displacement,Max Power,Max Torque,No of Cylinder,Values per Cylinder,Fuel Suppy System,Turbo Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Drive Type,Seating Capacity,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Cargo Volumn,Value Configuration,Super Charger,Turning Radius,Top Speed,Acceleration,Gross Weight,Front Tread,Rear Tread,BoreX Stroke,Compression Ratio,Ground Clearance Unladen,City
10,0,Petrol,Hatchback,"50,000",Automatic,1,1st Owner,Honda,Honda Brio,2014,1193,VX AT,₹ 3.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1198 cc,Petrol,Comprehensive,"50,000 Kms",First Owner,DL04,Jun 2014,5 Seats,Automatic,2014,Specifications,,1198 CC,86.8bhp,16.5 kmpl,5,109Nm,14,Silver,i-VTEC Engine,1198,86.8bhp@6000rpm,109Nm@4500rpm,4.0,4.0,PGM - Fi,No,3610mm,1680mm,1500mm,2345mm,970kg,5 Speed,FWD,5,Power,Disc,Drum,"Tubeless,Radial",14,5,175-litres,SOHC,No,4.7 metres,185 Kmph,16 Seconds,,1480mm,1465mm,,,,delhi
11,0,Diesel,SUV,"97,055",Manual,1,1st Owner,Nissan,Nissan Kicks,2019,6760,XV D BSIV,₹ 7.84 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1461 cc,Diesel,Comprehensive,"97,055 Kms",First Owner,Up15,Apr 2019,5 Seats,Manual,2019,Specifications,,1461 CC,108.5bhp,20.45 kmpl,5,240Nm,17,Grey,1.5 K9K Diesel,1461,108.5bhp@3850rpm,240Nm@1750rpm,4.0,4.0,CRDI,No,4384 mm,1813 mm,1656 mm,2673 mm,1385,6 Speed,FWD,5,Power,Disc,Drum,Tubeless,17,5,400,DOHC,No,5.2 m,,,,,,,,210 mm,delhi
12,0,Petrol,Sedan,"1,14,000",Automatic,1,1st Owner,Toyota,Toyota Camry,2017,5636,2.5 Hybrid,₹ 21 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,2494 cc,Petrol,Comprehensive,"1,14,000 Kms",First Owner,DL3C,Apr 2017,5 Seats,Automatic,2017,Specifications,,2494 CC,157.7bhp,19.16 kmpl,5,213Nm,17,Silver,2AR-FXE Petrol Engine,2494,157.7bhp@5700rpm,213Nm@4500rpm,4.0,4.0,EFI,No,4850mm,1825mm,1480mm,2775mm,1635kg,6 Speed,FWD,5,Power,Ventilated Disc,Solid Disc,"Tubeless,Radial",17,4,436-litres,DOHC,No,5.5 metres,200 Kmph,10.8 Seconds,2100kg,1580mm,1570mm,,,,delhi
13,0,Diesel,SUV,"24,000",Manual,1,1st Owner,Kia,Kia Sonet,2022,8059,1.5 GTX Plus Diesel DT,₹ 13.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1493 cc,Diesel,Zero Dep,"24,000 Kms",First Owner,DL10,Jun 2022,5 Seats,Manual,2022,Specifications,,1493 CC,98.63bhp,,5,240nm,R16,Black,1.5L CRDi WGT,1493,98.63bhp@4000rpm,240nm@1500-2750rpm,4.0,4.0,CRDi,Yes,3995mm,1790mm,1642mm,2500mm,1535,6 Speed,FWD,5,Electric,Disc,Drum,"Tubeless, Radial",R16,5,392,,,,,,,,,,,,delhi
14,0,Diesel,Sedan,"30,000",Automatic,1,1st Owner,BMW,BMW 5 Series,2016,5871,520d Luxury Line,₹ 23.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1995 cc,Diesel,Third Party insurance,"30,000 Kms",First Owner,DL01,Jul 2016,5 Seats,Automatic,2016,Specifications,,1995 CC,190bhp,18.12 kmpl,5,400Nm,18,Blue,Diesel Engine,1995,190bhp@4000rpm,400Nm@1750-2500rpm,4.0,4.0,CRDi,Yes,4907mm,2102mm,1464mm,2968mm,"1,550",8 Speed,RWD,5,Power,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",18,4,520-litres,DOHC,No,5.6 meters,231 kmph,7.7 Seconds,,1600mm,1627mm,,,,delhi
15,0,Electric,Hatchback,"6,000",Automatic,1,1st Owner,Mini,Mini Cooper SE,2023,8669,Electric,₹ 46 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,0 cc,Electric,Comprehensive,"6,000 Kms",First Owner,DL03,Jun 2023,4 Seats,Automatic,2023,Specifications,,0 CC,181.03bhp,,4,270Nm,17,Grey,,0,181.03bhp,270Nm@1000rpm,,,,,3996,1727,1432,,1365,,,4,,,,,17,5,211litrs,,,,,7.3sec,,,,,,,delhi
16,0,Petrol,MUV,"7,000",Manual,1,1st Owner,Toyota,Toyota Innova Crysta,2022,8187,2.7 VX 7 STR,₹ 22.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,2694 cc,Petrol,Comprehensive,"7,000 Kms",First Owner,HR26,Feb 2023,7 Seats,Manual,2022,Specifications,,2694 CC,163.60bhp,8 kmpl,7,245nm,16,White,2.7 L Dual VVT,2694,163.60bhp@5200rpm,245nm@4000rpm,4.0,4.0,,,4735mm,1830mm,1795mm,2750mm,1730kg,5 Speed,RWD,7,Power,Disc,Drum,"Tubeless,Radial",16,5,300,DOHC,,5.4,,,2350kg,1540mm,1540mm,,,,delhi
17,0,Diesel,SUV,"34,000",Automatic,1,1st Owner,MG,MG Gloster,2021,8091,Sharp 7-Str,₹ 35 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1996 cc,Diesel,Comprehensive,"34,000 Kms",First Owner,DL2C,Sept 2021,7 Seats,Automatic,2021,Specifications,,1996 CC,215.01bhp,12.4 kmpl,7,480nm,19,Black,Diesel 2.0 Twin Turbo,1996,215.01bhp@4000rpm,480nm@1500-2400rpm,4.0,4.0,,Twin,4985mm,1926mm,1867mm,2950mm,2500,8 speed,4WD,7,,Disc,Disc,"Tubeless,Radial",19,5,,,,,,,,,,,,,delhi
18,0,Diesel,SUV,"29,000",Automatic,1,1st Owner,BMW,BMW X1,2013,337,sDrive 20d Sportline,₹ 9 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1995 cc,Diesel,Third Party insurance,"29,000 Kms",First Owner,UP21,2013,5 Seats,Automatic,2013,Specifications,,1995 CC,184bhp,17.05 kmpl,5,380Nm,17,White,sDrive20d Diesel Engine,1995,184bhp@4000rpm,380Nm@1750-2750rpm,4.0,4.0,CRDi,Yes,4477mm,2058mm,1545mm,2760mm,1550,8-Speed ,RWD,5,Power,Ventilated Discs,Ventilated Discs,"Tubeless,Radial",17,5,420-litres,,No,5.8 metres,205 Kmph,7.9 Seconds,,1501mm,1529mm,,,,delhi
19,0,Petrol,SUV,"38,000",Automatic,1,1st Owner,Mercedes-Benz,Mercedes-Benz GLC,2020,6837,200,₹ 52.45 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1991 cc,Petrol,Comprehensive,"38,000 Kms",First Owner,DL09,Dec 2020,5 Seats,Automatic,2020,Specifications,,1991 CC,197bhp,12.74 kmpl,5,320nm,19,Black,M 264 petrol engine,1991,197bhp@5500-6100rpm,320nm@1650-4000rpm,4.0,4.0,EFI,No,4658mm,1890mm,1644mm,2873mm,1585,9 speed Tronic,AWD,5,Power,Disc,Disc,"Tubeless,Radial",19,5,550-litres,,,,217 Kmph,,2360kg,,,,,,delhi
