,it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc,heading,bottomData,Engine Displacement,Fuel Type,Insurance Validity,Kms Driven,Ownership,RTO,Registration Year,Seats,Transmission,Year of Manufacture,heading,commonIcon,Engine,Max Power,Mileage,Seats,Torque,Wheel Size,Color,Engine Type,Displacement,Max Power,Max Torque,No of Cylinder,Values per Cylinder,Fuel Suppy System,Turbo Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Drive Type,Seating Capacity,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Cargo Volumn,Value Configuration,Super Charger,Turning Radius,Top Speed,Acceleration,Gross Weight,Front Tread,Rear Tread,BoreX Stroke,Compression Ratio,Ground Clearance Unladen,City
195,0,Diesel,SUV,"82,501",Manual,1,1st Owner,Ford,Ford Ecosport,2018,6093,1.5 Diesel Titanium BSIV,₹ 7.65 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1498 cc,Diesel,Comprehensive,"82,501 Kms",First Owner,UP14,May 2018,5 Seats,Manual,2018,Specifications,,1498 CC,98.96bhp,23 kmpl,5,205Nm,16,White,TDCi Diesel Engine,1498,98.96bhp@3750rpm,205Nm@1750-3250rpm,4.0,4.0,Direct Injection,Yes,3998mm,1765mm,1647mm,2519mm,1300Kg,5 Speed,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",16,4,352-litres,SOHC,No,5.3 metres,,,1690Kg,,,73.5 X 88.3 mm,16.0:1,,delhi
196,0,Petrol,Hatchback,"91,881",Manual,1,1st Owner,Maruti,Maruti Baleno,2016,3970,1.2 Alpha,₹ 5.24 Lakh,₹ 5.29 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Comprehensive,"91,881 Kms",First Owner,HR26,Aug 2016,5 Seats,Manual,2016,Specifications,,1197 CC,83.1bhp,21.4 kmpl,5,115Nm,16,Blue,VVT Petrol Engine,1197,83.1bhp@6000rpm,115Nm@4000rpm,4.0,4.0,MPFI,No,3995mm,1745mm,1510mm,2520mm,890Kg,5 Speed,FWD,5,Power,Disc,Drum,"Tubeless,Radial",16,5,339-litres,DOHC,No,4.9 meters,180 Kmph,12.36 seconds,1340kg,1505mm,1515mm,,,,delhi
197,0,Petrol,Hatchback,"36,000",Manual,2,2nd Owner,Maruti,Maruti Swift,2017,4174,LXI Optional-O,₹ 3.80 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Third Party insurance,"36,000 Kms",Second Owner,UP14,Jun 2017,5 Seats,Manual,2017,Specifications,,1197 CC,83.11bhp,20.4 kmpl,5,113Nm,,White,K Series VVT Engine,1197,83.11bhp@6000rpm,113Nm@4200rpm,4.0,4.0,MPFI,No,3840mm,1735mm,1530mm,2450mm,855Kg,5 Speed,FWD,5,Power,Ventilated Disc,Drum,Tubeless Tyres,,5,204-liters,DOHC,No,4.8 metres,165 kmph,12.6 Seconds,1315kg,,,73 X 71.5 mm,11.0:1,,delhi
198,0,Petrol,Hatchback,"62,479",Automatic,2,2nd Owner,Maruti,Maruti Baleno,2018,5920,1.2 CVT Alpha,₹ 6.21 Lakh,₹ 6.33 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Comprehensive,"62,479 Kms",Second Owner,DL9C,Jun 2018,5 Seats,Automatic,2018,Specifications,,1197 CC,83.1bhp,21.4 kmpl,5,115Nm,16,Silver,VVT Petrol Engine,1197,83.1bhp@6000rpm,115Nm@4000rpm,4.0,4.0,MPFI,No,3995mm,1745mm,1510mm,2520mm,935kg,CVT,FWD,5,Power,Disc,Drum,"Tubeless,Radial",16,5,339-litres,DOHC,No,4.9 meters,180 Kmph,12.36 seconds,1360kg,1515mm,1525mm,,,,delhi
199,0,Diesel,SUV,"53,000",Manual,2,2nd Owner,Mahindra,Mahindra Scorpio,2016,3628,1.99 S10,₹ 9.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1997 cc,Diesel,Comprehensive,"53,000 Kms",Second Owner,DL10,Dec 2016,7 Seats,Manual,2016,Specifications,,1997 CC,120bhp,15.4 kmpl,7,280Nm,17,White,mHawk Diesel Engine,1997,120bhp@4000rpm,280Nm@1800-2800rpm,4.0,4.0,CRDi,Yes,4456mm,1820mm,1995mm,2680mm,1535,5 Speed,RWD,7,Power,Disc,Drum,"Tubeless,Radial",17,5,460-litres,DOHC,No,5.4 metres,160 Kmph,14 Seconds,2510kg,1450mm,1450mm,,,,delhi
200,0,Petrol,Hatchback,"51,000",Manual,2,2nd Owner,Honda,Honda Brio,2013,1188,S MT,₹ 2.30 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1198 cc,Petrol,Comprehensive,"51,000 Kms",Second Owner,DL4C,Mar 2013,5 Seats,Manual,2013,Specifications,,1198 CC,86.8bhp,19.4 kmpl,5,109Nm,,Grey,i-VTEC Engine,1198,86.8bhp@6000rpm,109Nm@4500rpm,4.0,4.0,PGM - Fi,No,3610mm,1680mm,1500mm,2345mm,925kg,5 Speed,FWD,5,Power,Disc,Drum,"Tubeless,Radial",,5,175-litres,SOHC,No,4.5 metres,164 Kmph,14.5 Seconds,,1480mm,1465mm,,,,delhi
201,0,Petrol,Hatchback,"63,774",Manual,1,1st Owner,Hyundai,Hyundai i20,2015,1482,Asta 1.2,₹ 5.49 Lakh,₹ 5.59 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Comprehensive,"63,774 Kms",First Owner,DL9C,Jun 2015,5 Seats,Manual,2015,Specifications,,1197 CC,81.83bhp,18.6 kmpl,5,114.7Nm,16,White,Kappa VTVT Petrol Engine,1197,81.83bhp@6000rpm,114.7Nm@4000rpm,4.0,4.0,MPFI,No,3985mm,1734mm,1505mm,2570mm,1066kg,5 Speed,FWD,5,Power,Disc,Drum,Tubeless,16,5,295-litres,DOHC,No,5.2 metres,170 Kmph,13.2 Seconds,,1505mm,1503mm,,,,delhi
202,0,Petrol,Sedan,"45,000",Manual,1,1st Owner,Honda,Honda Amaze,2017,5327,S Option i-VTEC,₹ 4.75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1198 cc,Petrol,Comprehensive,"45,000 Kms",First Owner,DL3C,Dec 2017,5 Seats,Manual,2017,Specifications,,1198 CC,86.7bhp,17.8 kmpl,5,109Nm,,Grey,i-VTEC Petrol Engine,1198,86.7bhp@6000rpm,109Nm@4500rpm,4.0,4.0,MPFi,No,3990mm,1680mm,1505mm,2405mm,955kg,5 Speed,FWD,5,Power,Disc,Drum,"Tubeless,Radial",,4,400-litres,SOHC,No,4.5 metres,140 Kmph,15 Seconds,,,,,,,delhi
203,0,Petrol,Sedan,"21,900",Manual,1,1st Owner,Hyundai,Hyundai Aura,2021,7327,S,₹ 7.75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Third Party,"21,900 Kms",First Owner,DL5C,Aug 2021,5 Seats,Manual,2021,Specifications,,1197 CC,81.86bhp,20.5 kmpl,5,113.8nm,,White,1.2 l Kappa dual petrol,1197,81.86bhp@6000rpm,113.8nm@4000rpm,4.0,4.0,,No,3995mm,1680,1520,2450,1050,5-Speed,,5,Electric,Disc,Drum,"Tubeless,Radial",,4,,,,,,,,,,,,,delhi
204,0,Petrol,Sedan,"27,381",Manual,1,1st Owner,Hyundai,Hyundai Verna,2016,1842,1.6 VTVT S,₹ 6.49 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1591 cc,Petrol,Comprehensive,"27,381 Kms",First Owner,DL10,Dec 2016,5 Seats,Manual,2016,Specifications,,1591 CC,121.3bhp,17.01 kmpl,5,154.9Nm,,Others,VTVT Petrol Engine,1591,121.3bhp@6300rpm,154.9Nm@4200rpm,4.0,4.0,MPFI,No,4375mm,1700mm,1475mm,2570mm,1250,5 Speed,FWD,5,Power,Disc,Drum,Tubeless,,4,465-litres,DOHC,No,5.2 metres,196 Kmph,10.5 Seconds,,,,77.0 X 85.44 mm,10.5:1,,delhi
205,0,Cng,Hatchback,"54,147",Manual,2,2nd Owner,Maruti,Maruti Alto 800,2017,3935,CNG LXI Optional,₹ 2.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,796 cc,CNG,Comprehensive,"54,147 Kms",Second Owner,HR29,Jun 2017,5 Seats,Manual,2017,Specifications,,796 CC,47.3bhp,30.46 kmpl,5,69Nm,,White,F8D Engine,796,47.3bhp@6000rpm,69Nm@3500rpm,3.0,4.0,CNG,No,3395mm,1490mm,1475mm,2360mm,720 kg,5 Speed,FWD,5,Power,Solid Disc,Drum,Tubeless Tyres,,5,177-litres,DOHC,No,4.6 metres,140 kmph,19 Seconds,1185kg,1295mm,1290mm,,,,delhi
206,0,Cng,Hatchback,"56,716",Manual,1,1st Owner,Maruti,Maruti Wagon R,2020,7583,CNG LXI,₹ 5.51 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,998 cc,CNG,Zero Dep,"56,716 Kms",First Owner,DL1C,Dec 2020,5 Seats,Manual,2020,Specifications,,998 CC,58.33bhp,32.52 kmpl,5,78Nm,,Others,K10B Petrol Engine,998,58.33bhp@5500rpm,78Nm@3500rpm,3.0,4.0,MPFI,No,3655 mm,1620 mm,1675 mm,2435 mm,905-910kg,5 Speed,FWD,5,Power,Disc,Drum,"Tubeless Tyres, Radial",,5,341 Litres,DOHC,No,4.7 metres,,18.6 Seconds,1340kg,,,73 x 79.5 mm,,,delhi
207,0,Diesel,SUV,"68,000",Automatic,2,2nd Owner,Land Rover,Land Rover Range Rover Sport,2017,4908,HSE,₹ 72 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,2993 cc,Diesel,Third Party insurance,"68,000 Kms",Second Owner,HR26,Jul 2017,5 Seats,Automatic,2017,Specifications,,2993 CC,255bhp,12.65 kmpl,5,600Nm,20,Black,V-Type Engine,2993,255bhp@4000rpm,600Nm@1750-2250rpm,6.0,4.0,CRDI,Yes,4879mm,2220mm,1803mm,2923mm,2115kg,8 Speed,4WD,5,Power,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",20,5,784-litres,DOHC,No,6.05 meters,210 Kmph,7.2 Seconds,,1690mm,1685mm,,,,delhi
208,0,Petrol,Hatchback,"49,000",Manual,2,2nd Owner,Maruti,Maruti Wagon R,2015,6740,VXI,₹ 2.95 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,998 cc,Petrol,Comprehensive,"49,000 Kms",Second Owner,DL7C,Oct 2015,5 Seats,Manual,2015,Specifications,,998 CC,67.05bhp,21.79 kmpl,5,90Nm,,Grey,K10B Petrol Engine,998,67.05bhp@5500rpm,90Nm@3500rpm,3.0,4.0,MPFI,No,3655 mm,1620 mm,1675 mm,2435 mm,805-825kg,5 Speed,FWD,5,Power,Disc,Drum,"Tubeless Tyres, Radial",,5,341 Litres,DOHC,No,4.7 metres,,18.6 Seconds,1340kg,,,73  x 79.5 mm,,,delhi
209,0,Petrol,Sedan,"63,000",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,2016,4218,LXI Optional-O,₹ 4.85 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Comprehensive,"63,000 Kms",First Owner,DL7C,Jun 2016,5 Seats,Manual,2016,Specifications,,1197 CC,83.14bhp,20.85 kmpl,5,115Nm,,White,K Series VVT Engine,1197,83.14bhp@6000rpm,115Nm@4000rpm,4.0,4.0,MPFI,No,3995mm,1695mm,1555mm,2430mm,940kg,5 Speed,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",,4,320-liters,DOHC,No,4.8 metres,158 Kmph,12.6 Seconds,1415kg,1485mm,1495mm,73 X 71.5 mm,11.0:1,,delhi
210,0,Diesel,Hatchback,"77,000",Manual,1,1st Owner,Tata,Tata Indica V2,2011,2514,LS,₹ 1.95 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1396 cc,Diesel,Comprehensive,"77,000 Kms",First Owner,DL3C,Nov 2011,5 Seats,Manual,2011,Specifications,,1396 CC,69bhp,25 kmpl,5,140Nm,,Cavern Grey,CR4 Diesel Engine,1396,69bhp@4000rpm,140Nm@1800-3000rpm,4.0,4.0,CRDi,Yes,3690mm,1665mm,1485mm,2400mm,1080kg,5 Speed,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",,5,220-litres,DOHC,No,4.9 metres,155 Kmph,14.5 Seconds,,,,,,,delhi
211,0,Diesel,SUV,"3,000",Automatic,1,1st Owner,BMW,BMW X1,2023,10064,sDrive18d M Sport,₹ 54 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1995 cc,Diesel,Comprehensive,"3,000 Kms",First Owner,UP01,Jul 2023,5 Seats,Automatic,2023,Specifications,,1995 CC,147.51bhp,20.37 kmpl,5,360Nm,18,White,,1995,147.51bhp@3750-4000rpm,360Nm@1500–2500rpm,4.0,4.0,,Twin,4429,1827,1598,,1515,7 Speed Steptronic Sport,,5,,Disc,Disc,Tubeless,18,4,,,,,,8.9Sec,,,,,,,delhi
212,0,Diesel,MUV,"54,000",Automatic,1,1st Owner,Toyota,Toyota Innova Crysta,2019,2406,2.8 GX AT BSIV,₹ 17.75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,2755 cc,Diesel,Comprehensive,"54,000 Kms",First Owner,HR13,Apr 2019,7 Seats,Automatic,2019,Specifications,,2755 CC,171.5bhp,11.36 kmpl,7,360Nm,16,Silver,1-GD FTV Engine,2755,171.5bhp@3400rpm,360Nm@1200-3400rpm,4.0,4.0,Direct Injection,Yes,4735mm,1830mm,1795mm,2750mm,1830kg,6 Speed,RWD,7,Power,Disc,Drum,"Tubeless,Radial",16,5,,DOHC,No,5.4 meters,,,2450kg,1540mm,1540mm,3.62 X 4.08 mm,,,delhi
213,0,Petrol,Sedan,"55,000",Manual,1,1st Owner,Honda,Honda City,2018,7261,VX MT,₹ 8.25 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1497 cc,Petrol,Comprehensive,"55,000 Kms",First Owner,HR06,May 2018,5 Seats,Manual,2018,Specifications,,1497 CC,117.6bhp,17.4 kmpl,5,145Nm,16,Silver,i VTEC Engine,1497,117.6bhp@6600rpm,145Nm@4600rpm,4.0,4.0,PGM-Fi,No,4440mm,1695mm,1495mm,2600mm,1084kg,5 Speed,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",16,4,510,SOHC,No,5.3 metres,189 kmph,9.64 Seconds,1459kg,1475mm,1465mm,73.0 X 89.4 mm,10.3:1,,delhi
214,0,Petrol,Sedan,"50,000",Automatic,2,2nd Owner,Skoda,Skoda Octavia,2018,6121,1.8 TSI AT L K,₹ 16.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1798 cc,Petrol,Third Party insurance,"50,000 Kms",Second Owner,,2018,5 Seats,Automatic,2018,Specifications,,1798 CC,178bhp,15.1 kmpl,5,250Nm,16,Others,1.8TSI Petrol Engine,1798,178bhp@5100-6200rpm,250Nm@1250-5000rpm,4.0,4.0,Direct Injection,Yes,4670mm,1814mm,1476mm,2688mm,1376kg,7 Speed,FWD,5,Power,Disc,Disc,"Tubeless,Radial",16,4,590,DOHC,No,5.2 metres,220 Kmph,8.26 Seconds,1860kg,1539mm,1534mm,82.5 x 84.2 mm,9.6:1,155mm,delhi
215,0,Petrol,SUV,"16,000",Automatic,1,1st Owner,Mercedes-Benz,Mercedes-Benz GLS,2022,7883,450 4MATIC BSVI,₹ 1.38 Crore,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,2999 cc,Petrol,Comprehensive,"16,000 Kms",First Owner,HR01,Oct 2022,7 Seats,Automatic,2022,Specifications,,2999 CC,362.07bhp5500-6100bhp,,7,500Nm,21,White,3.0-litre petrol,2999,362.07bhp5500-6100bhp,500Nm@1600-4500rpm,6.0,4.0,,,5207mm,2157mm,1823mm,3135mm,2460kg,9G-TRONIC automatic,AWD,7,Electric,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",21,5,,,,,246kmph,6.2secs,3230kg,1705mm,1692mm,,,,delhi
216,0,Petrol,Sedan,"14,598",Manual,2,2nd Owner,Hyundai,Hyundai Verna,2019,5968,VTVT 1.6 SX Option,₹ 10.16 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1591 cc,Petrol,Zero Dep,"14,598 Kms",Second Owner,HR26,May 2019,5 Seats,Manual,2019,Specifications,,1591 CC,121.3bhp,17 kmpl,5,151Nm,16,Brown,VTVT Petrol Engine,1591,121.3bhp@6400rpm,151Nm@4850rpm,4.0,4.0,MPFI,No,4440mm,1729mm,1475mm,2600mm,1248,6 Speed,FWD,5,Power,Disc,Drum,Tubeless,16,4,480,DOHC,No,5.2 metres,,11.31 Seconds,,,,77.0 X 85.44 mm,,,delhi
217,0,Diesel,SUV,"96,000",Automatic,2,2nd Owner,Toyota,Toyota Fortuner,2015,2252,4x2 AT,₹ 11.95 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,2982 cc,Diesel,Comprehensive,"96,000 Kms",Second Owner,UP16,Nov 2015,7 Seats,Automatic,2015,Specifications,,2982 CC,168.5bhp,12.55 kmpl,7,360Nm,17,White,D-4D Diesel Engine,2982,168.5bhp@3600rpm,360Nm@1400-3200rpm,4.0,4.0,CRDi,Yes,4705mm,1840mm,1850mm,2750mm,1880kg,5 Speed ,FWD,7,Power,Ventilated Disc,Drum,"Tubeless,Radial",17,5,296-litres,DOHC,No,5.6 metres,176 Kmph,9.6 Seconds,2510kg,1540mm,1540mm,,,,delhi
218,0,Diesel,SUV,"40,190",Manual,2,2nd Owner,Maruti,Maruti Vitara Brezza,2018,4300,ZDi Plus,₹ 7.36 Lakh,₹ 7.51 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1248 cc,Diesel,Comprehensive,"40,190 Kms",Second Owner,DL9C,Nov 2018,5 Seats,Manual,2018,Specifications,,1248 CC,88.5bhp,24.3 kmpl,5,200Nm,16,Red,DDiS 200 Diesel Engine,1248,88.5bhp@4000rpm,200Nm@1750rpm,4.0,4.0,CRDi,Yes,3995mm,1790mm,1640mm,2500mm,1200kg,5 Speed,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",16,5,328-litres,DOHC,No,5.2 meters,172 kmph,12.36 Seconds,1680kg,,,69.6 X 82,,,delhi
219,0,Petrol,SUV,"8,000",Automatic,1,1st Owner,Audi,Audi Q7,2022,8778,Technology 2022-2022,₹ 91 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,2995 cc,Petrol,Comprehensive,"8,000 Kms",First Owner,MH01,Aug 2022,7 Seats,Automatic,2022,Specifications,,2995 CC,335.25bhp,11.21 kmpl,7,500Nm,,Black,3.0L V6 TFSI,2995,335.25bhp@5200-6400rpm,500Nm@1370-4500rpm,6.0,4.0,,yes,5064mm,1970mm,1703mm,2999mm,2040,,AWD,7,,Ventilated Disc,Ventilated Disc,,,5,,,,,250kmph,5.9 sec,,,,,,,delhi
220,0,Diesel,SUV,"80,000",Automatic,1,1st Owner,Hyundai,Hyundai Creta,2016,1444,1.6 CRDi AT SX Plus,₹ 7.66 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1582 cc,Diesel,Comprehensive,"80,000 Kms",First Owner,DL1C,Oct 2016,5 Seats,Automatic,2016,Specifications,,1582 CC,126.2bhp,17.01 kmpl,5,259.9Nm,17,Silver,U2 CRDI VGT Engine,1582,126.2bhp@4000rpm,259.9Nm@1900-2750rpm,4.0,4.0,CRDi,Yes,4270mm,1780mm,1630mm,2590mm,1320,6 Speed,FWD,5,Power,Disc,Drum,Tubeless,17,5,400-litres,DOHC,No,5.3 metres,190 Kmph,10.5 Seconds,,,,,,,delhi
221,0,Petrol,SUV,"46,445",Manual,1,1st Owner,Hyundai,Hyundai Creta,2016,8179,1.6 VTVT SX Plus,₹ 8.59 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1591 cc,Petrol,Comprehensive,"46,445 Kms",First Owner,DL8C,Nov 2016,5 Seats,Manual,2016,Specifications,,1591 CC,121.3bhp,13 kmpl,5,151Nm,17,Silver,VTVT Petrol Engine,1591,121.3bhp@6400rpm,151Nm@4850rpm,4.0,4.0,MPFi,No,4270mm,1780mm,1630mm,2590mm,1280,6 Speed,FWD,5,Power,Disc,Drum,Tubeless,17,5,400-litres,DOHC,No,5.3 metres,,,,,,,,,delhi
222,0,Petrol,MUV,"6,000",Manual,1,1st Owner,Toyota,Toyota Innova Crysta,2022,8105,2.7 GX 7 STR,₹ 19.10 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,2694 cc,Petrol,Comprehensive,"6,000 Kms",First Owner,HR98,Oct 2022,7 Seats,Manual,2022,Specifications,,2694 CC,163.60bhp,8 kmpl,7,245nm,R16,Grey,2.7L Dual VVT,2694,163.60bhp@5200rpm,245nm@4000rpm,4.0,4.0,MPFI,,4735mm,1830mm,1795mm,2750mm,1730kg,5 Speed,RWD,7,Power,Disc,Drum,"Tubeless,Radial",R16,5,300,DOHC,,5.4,,,2350kg,1540mm,1540mm,,,,delhi
223,0,Petrol,Sedan,"26,000",Automatic,1,1st Owner,BMW,BMW 6 Series,2021,10573,GT 630i M Sport,₹ 69 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1998 cc,Petrol,Third Party insurance,"26,000 Kms",First Owner,HR01,Dec 2021,4 Seats,Automatic,2021,Specifications,,1998 CC,254.79bhp,13.32 kmpl,4,400Nm,19,Maroon,TwinPower Turbo inline 4-cylinder engine,1998,254.79bhp@5000rpm,400Nm@1550-4400rpm,4.0,4.0,MPFi,Yes,5091mm,1902mm,1538mm,3070mm,1885kg,8-Speed Steptronic Sport Automatic Transmission,,4,Power,Ventilated Disc,Ventilated Disc,Runflat Tyres,19,4,450-litres,DOHC,No,,250 Kmph,6.5 Seconds,,1615mm,,,,,delhi
224,0,Petrol,Sedan,"65,083",Manual,1,1st Owner,Maruti,Maruti Ciaz,2017,5724,1.4 Alpha,₹ 7.04 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1373 cc,Petrol,Third Party insurance,"65,083 Kms",First Owner,UP16,Oct 2017,5 Seats,Manual,2017,Specifications,,1373 CC,91.1bhp,20.73 kmpl,5,130Nm,16,Brown,k14B VVT Engine,1373,91.1bhp@6000rpm,130Nm@4000rpm,4.0,4.0,MPFI,No,4490mm,1730mm,1485mm,2650mm,1030kg,5 Speed,FWD,5,Power,Ventilated Disc,Drum,"Tubeless, Radial",16,4,510-litres,DOHC,No,5.4 metres,190 kmph,14 Seconds,1490kg,1495mm,1505mm,73 x 82mm,10.1:1,,delhi
225,0,Diesel,SUV,"1,50,000",Automatic,2,2nd Owner,Mercedes-Benz,Mercedes-Benz M-Class,2014,4660,ML 350 CDI,₹ 17.51 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,2987 cc,Diesel,Comprehensive,"1,50,000 Kms",Second Owner,DL8C,Apr 2014,5 Seats,Automatic,2014,Specifications,,2987 CC,254.8bhp,11.74 kmpl,5,619Nm,19,Brown,V-Type Diesel Engine,2987,254.8bhp@3600rpm,619Nm@1600-2400rpm,6.0,4.0,CRDi,Yes,4817mm,2141mm,1762mm,2915mm,2175kg,7 Speed,AWD,5,Power,Disc,Disc,"Tubeless,Radial",19,5,690-litres,DOHC,No,5.9 metres,224 Kmph,7.4 Seconds,2950kg,1648mm,1663mm,92.9 x 86.0 mm,,,delhi
226,0,Petrol,Sedan,"5,378",Automatic,1,1st Owner,Honda,Honda City,2021,7905,ZX CVT,₹ 14.43 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1498 cc,Petrol,Zero Dep,"5,378 Kms",First Owner,UP16,Sept 2021,5 Seats,Automatic,2021,Specifications,,1498 CC,119.35bhp,18.3 kmpl,5,145Nm,16,Red,Water Cooled Inline i-VTEC DOHC with VTC,1498,119.35bhp@6600rpm,145Nm@4300rpm,4.0,4.0,,,4549mm,1748mm,1489mm,2600mm,1107-1153kg,CVT,,5,Electric,Ventilated Disc,Drum,"Tubeless, Radial",16,4,506,DOHC,,5.3,,,1482-1528kg,1496mm,1484mm,,,,delhi
227,0,Petrol,Sedan,"63,001",Automatic,1,1st Owner,Honda,Honda City,2016,1276,i VTEC CVT SV,₹ 7.65 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1497 cc,Petrol,Comprehensive,"63,001 Kms",First Owner,UP16,Jun 2016,5 Seats,Automatic,2016,Specifications,,1497 CC,117.3bhp,18 kmpl,5,145Nm,,Brown,i VTEC Engine,1497,117.3bhp@6600rpm,145Nm@4600rpm,4.0,4.0,PGM-Fi,No,4440mm,1695mm,1495mm,2600mm,1065kg,5 Speed CVT,FWD,5,Power,Disc,Drum,"Tubeless,Radial",,4,510-litres,SOHC,No,5.3 metres,195 Kmph,10 Seconds,,1480mm,1465mm,73.0 X 89.4 mm,10.3:1,,delhi
